name,lat,long,enrollment,alloc,math,reading,grad
Oyster-Adams Bilingual School (Oyster) (Lower),38.923244,-77.057001,668,6735964.49,0.840399002,0.8175,
Patterson Elementary School,38.826143,-77.008707,330,3115021.95,0.24,0.15,
Payne Elementary School,38.885175,-76.983647,245,2045600.79,0.307692308,0.338461538,
Peabody Elementary School (Capitol Hill Cluster),38.893102,-77.000019,230,2364713.84,,,
"Phelps Architecture, Construction, and Engineering Senior High School",38.898835,-76.970219,340,3996447.23,0.472727273,0.436363636,0.9326
Plummer Elementary School,38.886638,-76.940542,263,2126168.09,0.405063291,0.320512821,
Powell Elementary School,38.941862,-77.031228,391,4483803.36,0.621359223,0.450980392,
Prospect Learning Center,38.897335,-76.993449,83,2386508.71,0.162162162,0.108108108,
Randle Highlands Elementary School,38.870105,-76.964761,358,3428260.73,0.282258065,0.419354839,
Raymond Education Campus,38.935347,-77.026143,451,4262620.08,0.419889503,0.462857143,
River Terrace Elementary School,38.894995,-76.957504,,,,,
Ronald H. Brown Middle School,38.906068,-76.933628,204,2447228.73,0.3,0.193717277,
Roosevelt Senior High School,38.943044,-77.029691,473,5479421.85,0.195488722,0.21641791,0.4809
Ross Elementary School,38.912625,-77.03985,154,1509663.77,0.787234043,0.829787234,
Savoy Elementary School,38.863411,-76.993108,387,3228392.17,0.215189873,0.265822785,
School Without Walls Senior High School,38.898315,-77.047439,548,4535741,0.973154362,0.993288591,0.9214
School-Within-A-School at Logan Annex,38.898894,-77.003163,126,,,,
Seaton Elementary School,38.909791,-77.025979,256,3044626.3,0.663043478,0.340659341,
Sharpe Health School,38.943044,-77.029707,85,2679453.77, - , - ,
Shaw Middle School at Garnet-Patterson,38.917129,-77.025953,130,1964590.99,0.254716981,0.306930693,
Shepherd Elementary School,38.984311,-77.033399,314,2914191.14,0.710144928,0.760869565,
Simon Elementary School,38.836317,-77.000624,270,2136133.42,0.362637363,0.395604396,
Smothers Elementary School,38.893418,-76.939005,282,2286614.95,0.287671233,0.243243243,
Sousa Middle School,38.883496,-76.952277,304,3383496.85,0.452631579,0.357894737,
Spingarn Senior High School,38.898041,-76.971114,374,4277719.86,0.172413793,0.227272727,0.506
Stanton Elementary School,38.860095,-76.968145,391,3324093.54,0.42384106,0.198675497,
Stoddert Elementary School,38.922557,-77.07888,368,3136807.48,0.895652174,0.85046729,
Stuart-Hobson Middle School (Capitol Hill Cluster),38.896123,-77.000193,371,3613188.31,0.64010989,0.641873278,
Takoma Education Campus,38.974978,-77.021676,366,3472208.22,0.403409091,0.465116279,
Thomas Elementary School,38.901175,-76.951653,312,3114742.75,0.347826087,0.402173913,
Thomson Elementary School,38.903743,-77.028235,300,3046367.56,0.683333333,0.558333333,
Truesdell Education Campus,38.954158,-77.024106,468,4338443.79,0.527522936,0.472222222,
Tubman Elementary School,38.928721,-77.0297,506,5067342.8,0.78807947,0.626666667,
Turner Elementary School,38.841792,-76.982189,339,2960893.19,0.224806202,0.240310078,
Tyler Elementary School,38.881243,-76.992511,470,4961515.81,0.313131313,0.464646465,
Walker Jones Education Campus,38.904395,-77.014355,426,4624270.64,0.274611399,0.259067358,
Washington Metropolitan High School,38.920449,-77.016971,282,2022006.72,0.051724138,0.2,0.4841
Watkins Elementary School (Capitol Hill Cluster),38.883666,-76.990231,527,4312088.26,0.603773585,0.592356688,
West Education Campus,38.950782,-77.031228,243,2356849.49,0.596491228,0.548672566,
Wheatley Education Campus,38.903499,-76.986449,465,,0.373443983,0.3125,
Whittier Education Campus,38.965008,-77.019853,339,2827959.32,0.409090909,0.348571429,
Winston Education Campus,38.857287,-76.962428,308,2484758.33,0.22826087,0.217391304,
Woodrow Wilson Senior High School,38.945996,-77.064578,1713,12801727.56,0.600401606,0.614,0.75
