gis_id,NAME,NBH_NAMES,NCID,population_total_val,population_under_18_val,population_under_5_val,total_neighborhood_poverty_perc,children_in_poverty_perc,single_mother_families_perc,no_dip_18_perc,no_dip_25_perc,youth_ready_to_work_perc,engagement_perc,medicaid_enroll_val,prev_med_visit_val,dental_visit_val,er_ast_10_val,fs_client_2012_val,math_perc,reading_perc,parcc_math,parcc_read,cc_cap_val,cc_pop_ratio,cc_child_pov_ratio,cc_sub_13_cur,homeownership_perc,vacants_val,grocery_val,rec_val,parks_val,metro_val,bus_stops_val,total_crime_val,total_crime_pc_ratio,homicide_val,homicide_pc_ratio,assault_val,assault_pc_ratio,robbery_val,robbery_pc_ratio,sex_abuse_val,sex_abuse_pc_ratio,white_18,black_18,hispanic_18,other_18,other_under_18,no_hs_degree_18_24,children_in_poverty_numer,children_in_poverty_denom,population_other_total,white_under_18,black_under_18,hispanic_under_18,no_hs_degree_25_plus,youth_ready_to_work_numer,youth_ready_to_work_denom,homeownership_numer,work_numer,median_family_income,pop_nothisp_white_perc,pop_nothisp_black_perc,pop_nothisp_other_perc,pop_hisp_perc,pop_nothisp_white_under18_perc,pop_nothisp_black_under18_perc,pop_nothisp_other_under18_perc,pop_hisp_under18_perc,median_family_income_val
Nbclus_016,Cluster 16,"Colonial Village, Shepherd Park, North Portal Estates",16,4124,832,229,0.028766,0.013317,0.13489,0.098214,0.021384,0.666667,0.705885866,408.4799275,267.7407898,223.4444079,,547.5369238,0.755813953,0.73255814,0.393,0.474,17,0.122302,,0,0.908367,18,0,0,10,0,42,14,3.394762367,0,0,3,0.727449079,11,2.667313288,0,0,702,2438,110,-15,-15,147,11,810,133,207,588,52,83,40,98,1319,165,,0.220417071,0.708050436,0.032250242,0.03928225,0.248798077,0.706730769,-0.018028846,0.0625,163125
Nbclus_017,Cluster 17,"Takoma, Brightwood, Manor Park",17,22816.76,4675.065,1763.461,0.136889,0.19279,0.23196,0.169069,0.159471,0.808246,0.597420451,3356.850308,2291.269082,1905.086358,164.489897,4494.125072,0.587852495,0.563991323,0.169541888,0.218184073,235,0.210521,0.91822,420332.91,0.476391,56,1,3,11,1,100,134,5.872876676,1,0,49,2.147544456,78,3.418540155,6,0.262964627,2126.958,12387.15,3306.891,100.711,100.711,1794.272,895.946,4202.02,810.164,425.956,2491.72,1656.678,2802.173,919.886,1216.556,4106.527,1228.406,,0.11188768,0.635064396,0.035507412,0.217540512,0.091112316,0.532980825,0.02154216,0.354364699,74458.78
Nbclus_018,Cluster 18,"Brightwood Park, Crestwood, Petworth",18,40421.26,8187.387,2704.46,0.154382,0.231433,0.390876,0.19861,0.146981,0.734267,0.587689292,6639.128846,4600.517427,3817.731921,303.3191796,8881.675502,0.58477918,0.54692429,0.24561673,0.264131627,517,0.332016,1.100246,2234298.2,0.553146,136,2,7,38,1,159,372,9.203077786,7,0.148436738,129,3.191389878,215,5.318983129,21,0.519528585,5406.213,19247.46,7003.983,195.562,195.562,3293.588,1829.41,7421.815,2072.873,828.885,4817.642,2345.298,4336.844,1527.367,2133.597,7755.438,2483.923,,0.154252935,0.563169184,0.051281751,0.23129613,0.10123926,0.588422411,0.023885765,0.286452564,82581.8
Nbclus_019,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",19,13411.13,2652.746,953.671,0.154396,0.191226,0.386036,0.063484,0.120872,0.807177,0.623163089,2205.491164,1519.077798,1263.57671,103.4001005,2962.250919,0.573844419,0.540022548,0.255682331,0.304193246,85,0.190905,0.492939,285513.5,0.583196,27,0,3,8,1,85,95,7.083670149,0,0,40,2.982597958,53,3.951942294,2,0.149129898,1386.85,7741.369,1383.902,-24.679,-24.679,1704.466,421.662,2603.276,386.122,73.505,1913.886,690.034,1049.703,606.704,749.284,2802.967,880.227,,0.108891296,0.707674605,0.028791167,0.154642932,0.027709023,0.721473522,-0.00930319,0.260120645,69430.42
Nbclus_020,Cluster 20,"North Michigan Park, Michigan Park, University Heights",20,13671.91,2451.248,803.366,0.143011,0.158327,0.358387,0.056373,0.113646,0.843027,0.637249732,1415.837941,906.3765588,788.3624214,89.0351633,2129.700353,0.592436975,0.590336134,0.141589623,0.191118644,135,0.347407,1.267606,688880.25,0.629153,32,1,3,10,1,117,56,4.095989814,1,0,16,1.170282804,34,2.486850958,5,0.365713376,1955.862,8166.848,977.152,5.354,5.354,2098.563,399.404,2155.968,228.546,52.306,1643.423,750.165,1137.537,762.047,950.162,2976.019,816.705,,0.14688278,0.710060168,0.016716466,0.126340586,0.021338518,0.670443382,0.002184194,0.306033906,71250.76
Nbclus_021,Cluster 21,"Edgewood, Bloomingdale, Truxton Circle, Eckington",21,22499.42,3308.205,1254.195,0.201894,0.242175,0.534776,0.120837,0.126361,0.766277,0.577536366,2230.02039,1401.29055,1168.287326,160.0969602,4880.541325,0.533707865,0.520599251,0.264787352,0.305601443,166,0.22369,0.561348,158348.67,0.440326,130,0,4,14,0,127,249,11.06695244,6,0.266673553,81,3.600092962,150,6.666838819,12,0.533347106,5458.438,11656.44,1309.358,67.221,67.221,2986.65,841.911,3313.329,1097.22,346.573,2390.097,504.314,2090.5,1475.535,1898.242,4002.459,1067.181,,0.258007151,0.61261653,0.048766593,0.080609726,0.104761646,0.722475481,0.020319478,0.152443395,92963.58
Nbclus_022,Cluster 22,"Brookland, Brentwood, Langdon",22,14170.17,3240.916,1227.157,0.172282,0.19191,0.541953,0.164808,0.132861,0.733791,0.58169183,1843.7768,1157.066504,1055.04624,104.8403616,3448.470777,0.510813594,0.520082389,0.078176042,0.097723176,214,0.272535,0.873263,702294.85,0.583587,63,1,3,16,1,120,186,13.12616296,1,0,66,4.657670729,113,7.974496853,6,0.423424612,1705.463,8329.899,641.474,5.857,5.857,1226.544,959.95,3306.799,467.255,418.555,2482.784,333.72,1290.85,445.757,666.701,2921.903,645.617,,0.149893583,0.748311683,0.032974544,0.06882019,0.12914713,0.766074776,0.001807205,0.102970888,72500.94
Nbclus_023,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",23,16337.04,3036.143,941.402,0.304033,0.373631,0.719636,0.11941,0.208169,0.599917,0.553304924,2167.347806,1356.957176,1107.296872,145.9687742,5448.884191,0.433613445,0.375630252,0.07428005,0.109223313,62,0.102301,0.178161,188134.29,0.281998,107,2,3,4,0,84,334,20.44434123,7,0.367263615,155,9.487643385,151,9.242800975,21,1.285422652,1554.003,10494.83,547.053,133.261,133.261,1965.2,1365.024,3233.198,932.241,33.162,2547.257,322.463,2618.189,727.96,1303.166,1854.128,823.398,,0.097151326,0.792562043,0.057063033,0.053223598,0.01092241,0.83897794,0.043891543,0.106208107,43626
Nbclus_024,Cluster 24,"Woodridge, Fort Lincoln, Gateway",24,7125.442,1149.467,543.943,0.181362,0.019962,0.376779,0.052591,0.154926,0.656906,0.631866912,1072.522291,675.7873254,622.5156556,56.18677176,2115.576004,0.553349876,0.545905707,0.225401961,0.206812808,13,0.040771,118.1818,259132.72,0.545191,38,0,4,7,0,65,46,6.455739868,1,0.140342171,20,2.806843421,23,3.227869934,2,0.280684342,506.264,5193.731,249.059,12.292,12.292,518.606,58.942,1103.683,103.406,73.329,1008.297,55.549,772.129,207.179,310.751,1635.631,283.359,,0.08134134,0.861397089,0.014512223,0.042749348,0.063793915,0.877186557,0.010693652,0.048325876,80005.89
Nbclus_025,Cluster 25,"Union Station, Stanton Park, Kingman Park",25,27101.03,3695.785,1753.623,0.138553,0.154646,0.320588,0.10382,0.087433,0.829567,0.622777479,3322.033931,2073.193233,1688.731649,223.0570804,8323.787153,0.547465438,0.501382488,0.207539802,0.239782659,239,0.21904,1.970614,617511.91,0.495483,156,1,2,12,2,109,281,10.36861037,5,0.110696908,83,3.062614451,182,6.715612411,11,0.405888662,12176.08,8737.1,1091.813,223.273,223.273,2643.023,615.602,3687.043,1812.931,1471.033,1772.308,229.171,1851.043,1652.209,1987.054,5807.562,943.748,,0.50356444,0.380797326,0.066895285,0.048742948,0.398029918,0.479548459,0.060412876,0.062008748,130170.9
