gis_id,NAME,NBH_NAMES,NCID,population_total_val,population_under_18_val,population_under_5_val,total_neighborhood_poverty_perc,children_in_poverty_perc,single_mother_families_perc,no_dip_18_perc,no_dip_25_perc,youth_ready_to_work_perc,engagement_perc,medicaid_enroll_val,prev_med_visit_val,dental_visit_val,er_ast_10_val,fs_client_2012_val,math_perc,reading_perc,parcc_math,parcc_read,cc_cap_val,cc_pop_ratio,cc_child_pov_ratio,cc_sub_13_cur,homeownership_perc,vacants_val,grocery_val,rec_val,parks_val,metro_val,bus_stops_val,total_crime_val,total_crime_pc_ratio,homicide_val,homicide_pc_ratio,assault_val,assault_pc_ratio,robbery_val,robbery_pc_ratio,sex_abuse_val,sex_abuse_pc_ratio,white_18,black_18,hispanic_18,other_18,other_under_18,no_hs_degree_18_24,children_in_poverty_numer,children_in_poverty_denom,population_other_total,white_under_18,black_under_18,hispanic_under_18,no_hs_degree_25_plus,youth_ready_to_work_numer,youth_ready_to_work_denom,homeownership_numer,work_numer,median_family_income,pop_nothisp_white_perc,pop_nothisp_black_perc,pop_nothisp_other_perc,pop_hisp_perc,pop_nothisp_white_under18_perc,pop_nothisp_black_under18_perc,pop_nothisp_other_under18_perc,pop_hisp_under18_perc,median_family_income_val
Nbclus_036,Cluster 36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",36,8661.89,2662.817,679.174,0.539324,0.702482,0.878888,0.369137,0.205489,0.422332,0.49450648,1887.515434,1212.279861,1026.292144,102.0586999,3472.024293,0.386083053,0.347923681,0.096057692,0.044942308,44,0.102411,0.103301,389770.62,0.099896,18,0,0,0,0,44,138,15.93185783,3,0.23089649,78,9.00496312,55,6.349653482,2,0.23089649,45.676,5918.397,29,9.013,9.013,1308.445,1278.968,2360.957,15.013,0.026,2638.778,15,1022.991,282.754,527.768,387.457,577.053,,0.005276216,0.987910837,0.001733225,0.005079723,9.76E-06,0.990972342,0.003384761,0.005633132,23516.39
Nbclus_037,Cluster 37,"Sheridan, Barry Farm, Buena Vista",37,8473.144,3026.902,888.092,0.387519,0.513691,0.824067,0.202153,0.224428,0.835233,0.56317728,2263.182273,1453.556481,1230.552156,122.3711535,4163.05144,0.417511521,0.373271889,0.163464476,0.174375436,9,0.01856,0.024038,521497.4,0.170778,30,0,3,2,1,80,164,19.3552712,11,0.708119678,70,8.261396242,74,8.733476027,9,1.062179517,24.912,5325.572,47.516,22.484,22.484,1052.334,1697.622,3171.342,162.758,0,2956.902,47.516,938.716,464.702,687.558,499.482,432.646,,0.002940113,0.966635525,0.01920869,0.011215672,0,0.976874045,0.007428057,0.015697898,30052.91
Nbclus_038,Cluster 38,"Douglas, Shipley Terrace",38,13200.89,4667.767,1278.985,0.379443,0.474744,0.828269,0.240811,0.210938,0.559174,0.546489847,3115.027769,2000.357432,1688.540669,166.5982959,5711.574027,0.415428167,0.370134466,0.012654912,0.029169903,293,0.446471,0.578233,488781,0.151709,33,1,3,1,0,90,220,16.66554174,6,0.30300985,117,8.863038109,89,6.74196916,8,0.6060197,107.992,8292.347,85.926,-33.633,-33.633,1529.899,2189.5,4791.933,128.472,5.064,4603.107,93.229,1454.381,454.292,820.918,758.207,1037.204,,0.00856427,0.968132227,0.00973207,0.013571432,0.001084887,0.986147552,-0.007205373,0.019972934,32481.15
Nbclus_039,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",39,31822.89,8940.987,2939.512,0.376081,0.517563,0.762014,0.296548,0.166863,0.45758,0.581074822,9455.813838,6068.501082,5063.598298,483.7777447,17117.22045,0.418392418,0.380835381,0.121976006,0.125034579,556,0.321156,0.311408,3803748.71,0.223032,115,0,6,5,0,198,471,14.800668,10,0.188543541,231,7.258926343,203,6.379056483,27,0.848445936,403.354,22040.27,302.475,133.239,133.239,4328.169,4956.909,8770.343,343.791,39.936,8712.041,55.771,3259.517,1204.816,2619.791,2530.057,2040.877,,0.013929911,0.964009332,0.010803262,0.011257495,0.004466621,0.974393655,0.014902046,0.006237678,36395.39
Nbclus_040,Cluster 40,Walter Reed,40,417.087,70.543,23.232,0.201777,0.200686,0.194656,0.307947,0.135441,0.653465,,38.38748492,25.16132333,20.99850754,,51.45556484,,,,,248,,,0,0.52987,0,0,0,0,0,15,,,,,,,,,,,76.351,212.234,56.507,0.605,0.605,38.72,9.438,40.414,17.182,13.794,30.008,26.136,48.642,17.061,24.684,70.664,14.278,,0.216129968,0.544531477,0.041195242,0.198143313,0.195540309,0.425385935,0.008576329,0.370497427,70588
Nbclus_042,Cluster 42,Observatory Circle,42,4.581,0.843,0.048,0.09609,0.053381,0,0.144928,0.035684,0.940299,,0.026369604,0.013113283,0.009459265,,,,,,,,,,0,0.728643,0,0,0,0,0,1,,,,,,,,,,,2.55,0.279,0.471,0.138,0.138,0.165,0.018,0.72,0.6,0.525,0,0.18,0.168,0.126,0.126,1.365,0.051,,0.671250819,0.055664702,0.130975769,0.14210871,0.622775801,0,0.163701068,0.213523132,250001
Nbclus_043,Cluster 43,St. Elizabeth's,43,26.229,11.088,1.491,0.470243,0.589646,0.871951,0.311275,0.216524,0.503356,0.53680333,5.664934076,3.638308408,3.07908246,,,,,,,,,,0,0.188295,0,0,0,0,1,16,,,,,,,,,,,0.042,14.665,0.091,0,0,2.618,4.613,9.38,0.343,0,11.088,0,2.254,0.658,1.211,1.932,2.275,,0.001601281,0.981852148,0.013077128,0.003469442,0,1,0,0,29457
Nbclus_044,Cluster 44,Joint Base Anacostia-Bolling,44,3969.992,1403.158,819.012,0.064977,0.057422,0.114084,0.023237,0.018965,0.644402,0.546267697,801.0016876,514.0625325,428.9372498,,10.41658284,,,,,,,,0,0.064152,0,0,2,2,0,27,,,,,,,,,,,1523.612,726.714,191.508,87.394,87.394,820.314,75.978,1186.344,213.394,650,527.764,138,37.848,50.234,70.08,66.804,148.644,,0.547510423,0.315738168,0.053751746,0.082999663,0.463240775,0.376125853,0.062283791,0.09834958,64608.02
Nbclus_045,Cluster 45,"National Mall, Potomac River",45,9.159,0.942,0.489,0.102277,0,0.079618,0.042945,0.007556,0.955446,,1.187992101,0.720409206,0.604264903,40.980797,1449.999187,,,,,,,,0,0.412632,0,0,1,0,2,105,,,,,,,,,,,6.837,0.504,0.486,0.048,0.048,0.948,0,0.9,0.438,0.663,0,0.231,0.03,0.477,0.504,1.863,0.072,,0.818866689,0.055027841,0.047821815,0.078283655,0.703821656,0,0.050955414,0.24522293,207981
Nbclus_046,Cluster 46,"Arboretum, Anacostia River",46,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
