neighborhood_id,population_total,population_total_margin,population_under_18,population_under_18_margin,median_family_income,median_family_income_margin,single_mother_families,single_mother_families_margin,children_in_poverty,children_in_poverty_margin,population_white_total,population_white_total_margin,population_black_total,population_black_total_margin,population_hisp_total,population_hisp_total_margin,population_under_5,population_under_5_margin,population_other_total,population_other_total_margin,white_under_18,white_under_18_margin,hispanic_under_18,hispanic_under_18_margin,no_hs_degree_25_plus,no_hs_degree_25_plus_margin,white_18,white_18_margin,hispanic_18,hispanic_18_margin,no_hs_degree_18_24,no_hs_degree_18_24_margin
4,19223.0,2600.0,2028.0,783.0,371798.0,70260.0,205.0,305.0,1994.0,838.0,16110.0,2450.0,525.0,391.0,1067.0,676.0,973.0,590.6123361448642,1772.0,935.0833131823588,1668.0,815.2593587662317,150.0,686.1364620620496,48.0,713.3945605662921,14442.0,2590.5293984603168,888.0,1228.1279170831262,17147.0,2429.531078779225
15,14439.424,1316.0990000000002,1390.2939999999999,374.874,391681.36600000004,74739.536,100.24699999999999,224.549,1390.2939999999999,374.874,11366.091,1134.847,700.2579999999999,495.50399999999996,1091.7150000000001,590.992,630.275,351.9811599770432,1676.4070000000002,821.0033923367512,954.553,623.1890170665621,96.14000000000001,618.0613627917974,28.007999999999996,671.0395700141422,10411.538,1313.6126076934424,877.326,1062.6111972781566,13021.122,1395.983569407042
10,14486.220000000001,1095.884,3247.942,442.452,464129.678,97948.782,220.74200000000002,226.024,3238.942,443.452,10893.006,965.616,1543.568,579.91,1125.484,851.46,1155.538,342.00603953907336,1273.838,800.188616970721,2462.344,532.8361100254186,144.0,660.2524816383147,43.298,587.7356588226262,8430.662,1111.2779160851842,791.56,1212.2648301731847,11194.98,1057.0047576269021
14,15471.798,1468.084,1128.54,453.91900000000004,418019.08499999996,91043.553,123.867,246.232,1122.108,453.374,11114.481,1420.171,683.341,497.637,1454.924,830.94,361.86400000000003,490.76435152680773,2633.883,1468.2309301528555,539.84,769.9739855397085,5.192,777.2031993497906,126.119,721.8883676398059,10574.641000000001,1621.2982226543284,1403.0040000000001,1366.4204445308276,14217.139,1502.7505325849622
13,15290.165,1430.205,2266.875,459.81,545082.895,82374.77,207.325,202.495,2224.325,445.355,12480.880000000001,1510.945,745.965,533.855,990.63,607.29,786.0,303.89653469038393,1369.945,854.8991449192818,1744.635,421.9659356183759,51.0,570.7476509802594,44.0,618.1695088483373,10736.244999999999,1577.716739596796,904.63,1061.1331401712685,12979.29,1455.7304891022854
18,36415.172,4335.825,7197.86,2387.797,584838.882,160504.872,2269.972,1710.278,7017.879,2390.813,4555.722,1474.694,22734.592,3837.6589999999997,7849.912,2770.7309999999998,2792.802,1406.4696835528562,1918.792,2112.6217897222077,455.565,2153.363016066147,875.667,1263.353404692818,802.794,1655.1664305373026,4100.157,2648.3630202038057,5851.976,3474.2858369248343,28414.518,3562.552823365539
16,4432.0,327.0,939.0,183.0,135403.0,19676.0,42.0,33.0,926.0,183.0,817.0,212.0,3145.0,382.0,306.0,211.0,286.0,102.61578825892242,279.0,198.76870981117727,172.0,116.83321445547922,41.0,142.4605208470052,57.0,149.1978552124661,645.0,242.0619755351922,219.0,293.4058622454569,3436.0,278.36127604248406
17,21138.803,2594.1530000000002,4071.5950000000003,1416.973,342705.265,87642.41200000001,1043.922,682.862,4032.7690000000002,1422.405,2032.31,879.861,14484.017,2184.578,3916.188,1829.264,1499.4859999999999,743.0751824548732,992.0229999999999,1092.2039066724292,188.164,1422.629002675379,701.226,811.712212696196,378.693,806.9691768916886,1844.146,1789.850870773942,2614.902,2330.6253116624193,16688.515,2079.7875513998288
21,20654.651,3112.8390000000004,3420.2989999999995,1214.073,544521.301,135959.27599999998,1397.584,971.381,3335.0899999999997,1211.24,3309.0989999999997,1374.971,14090.663,2887.071,2148.826,1376.3849999999998,1436.904,980.8627297710841,1752.555,1988.4788946813317,120.9,2298.897171389546,401.387,1474.8944843139996,306.524,1500.3998893655591,3188.199,2716.6084648525953,1435.1899999999998,2693.7461260219757,16927.827999999998,3060.7332718824864
11,11411.926,763.298,2243.947,339.02599999999995,242494.28100000002,32599.743,231.921,224.174,2202.929,334.02599999999995,9016.205,758.584,375.51,204.69299999999998,611.268,281.32599999999996,882.6030000000001,244.95991557213742,1865.9530000000002,559.520463707147,1596.0020000000002,320.66918588420805,24.0,318.29756336593334,28.720999999999997,298.95048052754,7420.203,823.6352889691971,494.514,512.1176869799135,9139.258,729.688186388267
12,12097.168000000001,981.8750000000001,1337.805,347.796,211636.961,43204.219,59.87400000000001,200.48700000000002,1335.805,347.796,9049.172,1000.2070000000001,621.25,272.31100000000004,1054.2050000000002,543.602,681.576,285.9130396813879,1657.6860000000001,704.9574495719596,939.2690000000001,420.1193045369274,54.644000000000005,383.8021416534794,60.761,419.1147466120825,8109.903,1085.4470481878593,926.432,780.3680889340892,10698.602,895.1989680809162
2,45598.631,5494.0689999999995,7150.43,2304.1150000000002,658971.785,130847.75099999999,2637.395,1675.521,7016.205,2273.29,14080.859,2749.397,17176.161,3933.1720000000005,11689.252,4044.87,2883.315,1334.7034121729212,3434.559,2444.457349523233,1065.925,2213.599743123806,1432.3509999999999,1348.7009872634944,1375.976,1743.6896292357608,13014.934000000001,3596.5825520454455,8927.594,4598.207498279385,37072.225,4994.591214840011
