code,name,enroll_val,math_perc,reading_perc,tanfsnap_perc,isa_perc,grad_perc,lat,long,
413,Hart MS,349,0.023,0.062,0.814196242,,,38.838331,-76.996479,
416,Johnson  John Hayden MS,252,0.021,0.046,0.776632302,,,38.850193,-76.984302,
417,Kramer MS,193,0,0.022,0.801801802,,,38.870743,-76.979906,
421,Kelly Miller MS,449,0.062,0.117,0.697802198,,,38.89402,-76.932904,
427,Sousa MS,255,0.022,0.107,0.732394366,,,38.883704,-76.954698,
428,Stuart Hobson MS Capitol Hill Cluster,431,0.158,0.388,0.338061466,,,38.896195,-77.000325,
433,Jefferson Middle School Academy,305,0.141,0.197,0.63898917,,,38.879792,-77.021977,
435,Mckinley MS,213,0.044,0.192,0.579207921,,,38.91522012,-77.00412244,
442,Columbia Heights EC ,1336,0.199,0.211,0.347543353,,,38.929165,-77.036473,
450,Anacostia HS,449,0.011,0.038,0.71709531,,,38.87105,-76.982299,
452,Ballou HS,930,0,0.089,0.713907285,,,38.83629,-77.000759,
454,Cardozo EC,796,0.093,0.165,0.390524968,,,38.923315,-77.026962,
455,Coolidge HS,346,0.014,0.151,0.473417722,,,38.966599,-77.019821,
457,Eastern HS,818,0.01,0.2,0.570731707,,,38.8898,-76.978991,
458,McKinley Technology HS,619,0.189,0.411,0.317829457,,,38.915488,-77.00429,
459,Roosevelt HS,667,0.039,0.094,0.384453782,,,38.945062,-77.029703,
463,Wilson HS,1749,0.217,0.541,0.152684564,,,38.950653,-77.077994,
464,Woodson H D HS,634,0,0.084,0.636932707,,,38.896657,-76.921968,
466,School Without Walls HS,584,0.687,0.85,0.079661017,,,38.898248,-77.048244,
467,Dunbar HS,584,0.0006,0.061,0.603369066,,,38.908574,-77.015908,
471,Duke Ellington School of the Arts,502,0.097,0.467,0.212237094,,,38.913612,-77.071114,
474,Washington Metropolitan HS ,125,0,0,0.713114754,,,38.920437,-77.016776,
478,Phelps Architecture Construction and Engineering HS,328,0.091,0.23,0.393188854,,,38.900343,-76.970306,
884,Luke Moore Alternative HS,266,0,0,0.611428571,,,38.932537,-76.990997,
175,School Within School at Goding,307,0.725,0.716,,,,38.897636,-76.993181,
301,Peabody ES Capitol Hill Cluster,230,NA,NA,,,,38.892804,-76.999875,
304,River Terrace EC,131,NA,NA,,,,38.896337,-76.959623,
349,Dorothy I Heights ES,518,0.304,0.292,,,,38.94449,-77.030362,
456,Roosevelt STAY,613,NA,NA,,,,38.942295,-77.02883,
462,Ballou STAY,466,NA,NA,,,,38.839356,-77.001423,
480,Inspring Youth Program,48,NA,NA,,,,38.883429,-76.976378,
861,Youth Services Center,88,NA,NA,,,,38.912259,-76.988665,
941,CHOICE Academy at Wash Met,5,NA,NA,,,,38.920212,-77.016712,
