black_18,black_18_margin,black_under_18,black_under_18_margin,bus_stops,cc_cap,cc_sub_13,children_in_poverty,children_in_poverty_denom,children_in_poverty_denom_margin,children_in_poverty_numer,children_in_poverty_numer_margin,Cluster,Cluster_ID,dental_visit,er_ast_10,fs_client_2012,grad,grocery,hispanic_18,hispanic_18_margin,hispanic_under_18,hispanic_under_18_margin,homeownership,homeownership_denom,homeownership_denom_margin,homeownership_numer,homeownership_numer_margin,libraries,math,median_family_income,median_family_income_denom,median_family_income_denom_margin,median_family_income_numer,median_family_income_numer_margin,medicaid_enroll,metro,no_hs_degree_18_24,no_hs_degree_18_24_margin,no_hs_degree_25_plus,no_hs_degree_25_plus_margin,other_18,other_18_margin,other_under_18,other_under_18_margin,population_black_total,population_black_total_margin,population_hisp_total,population_hisp_total_margin,population_other_total,population_other_total_margin,population_total,population_total_margin,population_under_18,population_under_18_margin,population_under_5,population_under_5_margin,population_white_total,population_white_total_margin,prev_med_visit,reading,rec,single_mother_families,single_mother_families_margin,total_neighborhood_poverty,total_neighborhood_poverty_denom,total_neighborhood_poverty_denom_margin,total_neighborhood_poverty_numer,total_neighborhood_poverty_numer_margin,vacants,violent_crimes,white_18,white_18_margin,white_under_18,white_under_18_margin,work,work_denom,work_denom_margin,work_numer,work_numer_margin,youth_ready_to_work,youth_ready_to_work_denom,youth_ready_to_work_denom_margin,youth_ready_to_work_numer,youth_ready_to_work_numer_margin
300.3,660.399,73.383,111.401673105837,88,23,0,0.013566690566173,2284.566,423.83384679099,30.994,112.256053669008,11,Nbclus_011,24.78364481,10.0001167,68.91836008,0.75,3,438.368,809.286,111.183,118.216934156093,0.733662075159562,4522.698,191.31,3318.132,363.113140909652,1,0.936758893,0.0930768600076,2268.566,336.91,211.151,141.07,56.73038402,2,9334.562,1365.31403817766,22.174,66.6657836691453,485.084,1669.55,485.084,1669.55,373.683,220.133,549.551,269.762,1396.715,430.895291418002,11661.32,688.616,2304.584,333.91,696.773,223.945490220092,9341.371,691.558,40.28443008,0.942687747,2,211.151,141.07,0.052501545963146,10980.21,618.652,576.478,342.929,#N/A,3,7706.437,2074.674,1634.934,310.874939473633,0.037130475358149,5818.455,538.786,216.042,137.390116807537,0.885881536794681,641.465,253.101978516501,568.262,240.826887714049
608.497,848.205,36.891,103.475402574625,26,26,0,0.048957804521158,1339.48,412.616184285979,65.578,160.748506754454,12,Nbclus_012,29.35966812,11.94182565,73.54372433,0,1,864.241,1494.753,138.955,156.874977280072,0.371929706459302,6595.542,386.633,2453.078,370.442578022088,0,0.895287958,0.061056061311475,1303.769,326.472,79.603,82.679,67.78907175,2,11009.413,1800.92914907833,51.018,128.278514252763,254.542,1696.32,254.542,1696.32,629.168,278.958,1003.196,498.251,1478.972,637.093928367122,12401.911,964.981,1341.48,339.264,538.327,271.985190184845,9290.575,991.589,43.51790047,0.858638743,#N/A,79.603,82.679,0.083741705103456,12261.907,945.44,1026.833,544.752,#N/A,1,8379.483,2974.767,911.092,317.01865670863,0.035677380319587,7564.709,766.461,269.889,183.021059805556,0.912640289607032,1115.995,461.067030705293,1018.502,436.452848831487
793.96,1510.86,115,165.787499792063,83,36,0,0,2410.96,562.447387270574,0,180.791463294039,13,Nbclus_013,31.34421038,15.83654864,89.52396086,0,1,1007.745,1601.25,141.65,186.781290948999,0.697621563815241,5152.335,353.36,3594.38,478.467004253884,1,0.901515152,0.087131338939745,2363.96,533.92,205.975,191.04,80.17218045,0,13032.885,3140.6916384771,74,153.917417478207,355.895,2726.875,355.895,2726.875,879.86,499.8,1149.395,533.75,1078.605,493.433918729897,15563.12,1604.585,2456.235,545.375,629.715,297.120533026945,12455.26,1488.465,53.5045544,0.901515152,2,205.975,191.04,0.093721448460828,11705.805,1094.79,1097.085,555.825,1,#N/A,10611.57,4465.395,1843.69,460.447216738761,0.034258981423388,5498.85,741.88,188.385,141.810531988388,0.776654719851481,969.575,415.177215037465,753.025,370.000168892426
722.445,1518.393,31,196.26499682116,70,5,0,0,1398.138,527.408937518647,0,197.498825383849,14,Nbclus_014,46.42814834,23.91129211,131.9208652,0,2,1342.956,2392.836,118.002,218.749889929798,0.460671758407976,9184.939,632.265,4231.242,722.16988735968,0,0.896153846,0.105293203653271,1366.337,473.405,143.866,180.812,121.5271078,0,14151.029,3017.8979654927,29,128.498212689696,553.542,2301.605,553.542,2301.605,742.545,503.951,1460.958,797.612,1815.671,844.157463213787,15581.874,1500.392,1401.845,460.321,473.539,327.145459863651,11562.7,1469.555,79.6672448,0.873076923,2,143.866,180.812,0.101893199888806,15299.441,1421.151,1558.909,737.57,#N/A,#N/A,10863.399,4408.665,699.301,346.574193708547,0.049476067488532,9547.222,1159.829,472.359,308.595016768798,0.963198365679264,1223.75,612.101182723652,1178.714,589.498575729913
660.861,1059.642,12,144.29346556073,82,70,32831.56,0,1327.388,449.906734740111,0,173.63116525555,15,Nbclus_015,39.69710788,16.55397755,100.6738885,0,1,1025.705,1890.423,249.576,214.923481809798,0.394357247395737,7941.018,485.399,3131.598,481.21850015615,1,0.913875598,0.060298018759279,1279.047,396.528,77.124,104.409,92.56120021,2,12905.201,2422.31678754968,17.22,110.84877427247,143.514,2002.14,143.514,2002.14,619.081,340.991,1275.281,630.141,1458.857,590.624631782308,14249.809,1206.389,1327.388,400.428,535.306,287.284588794265,10896.59,1170.657,59.60494075,0.875598086,3,77.124,104.409,0.072990624155906,13768.467,1086.93,1004.969,556.579,2,1,9974.292,3511.971,922.298,342.661362698445,0.049244519576662,8847.218,950.905,435.677,287.747020443371,1,1186.286,513.003615417293,1186.286,513.003615417293
2412,1161,578,195.816240388789,42,0,0,0.007954545454545,880,206.879191800432,7,44.497190922574,16,Nbclus_016,195.1283661,23.83033207,547.5369238,0,0,190,606,78,72.9383301152419,0.886642156862745,1632,75,1447,167.035924279779,1,0.755813953,0.062717770034843,861,165,54,57,402.8727904,0,3355,442.741459544958,41,51.7880295048962,22,815,22,815,2972,391,268,202,157,88.2099767600015,4287,285,891,163,236,99.2975326984513,890,202,302.7853957,0.73255814,#N/A,54,57,0.03628277153558,4272,285,155,115,2,#N/A,677,606,213,74.4177398205562,0.097784981091302,1851,185,181,70.4343666117613,0.297619047619048,84,62.2735899077611,25,41.194659848092
12606.037,6530.667,2310.943,831.049897664762,100,221,420332.91,0.236420151388614,3917.864,1151.17136278186,926.262,542.695129988709,17,Nbclus_017,1789.934479,164.489897,4494.125072,0.5333,1,2995.379,5103.003,1369.209,623.23171863458,0.484368178961624,8473.325,565.426,4104.209,832.422752867609,1,0.587852495,0.315963910011958,2962.927,1154.742,936.178,617.015,3467.917127,1,17059.59,4385.45030771584,450.592,399.597223681449,88.972,6047.14,88.972,6047.14,14687.78,2183.896,4364.588,1701.001,681.48,527.840191650646,21462.712,2537.665,3952.53,1209.428,1220.139,573.011197140604,1728.864,637.588,2658.513244,0.563991323,2,936.178,617.015,0.156271721806505,21143.787,2493.411,3304.176,1507.014,12,7,1545.458,1912.764,183.406,258.541955645546,0.112538029883682,10484.518,1648.331,1179.907,568.315196150422,0.77143284376784,1431.133,689.50324645265,1104.023,630.351148991833
18065.559,11001.399,4390.656,1501.07085362986,159,385,2234298.2,0.232579619407181,7147.849,1972.24253328412,1662.444,1109.54747842922,18,Nbclus_018,3686.474135,303.3191796,8881.675502,0.6209,2,6178.383,8676.549,2111.49,1075.78278218222,0.551353738844633,13713.354,967.029,7560.909,1400.76202442995,1,0.58477918,0.411548498586925,5690.073,2038.667,2341.741,1605.234,6988.208305,1,28725.832,7134.53488915746,726.526,677.647195181544,217.615,10521.43,217.615,10521.43,21909.145,3560.321,8289.873,2892.183,1605.971,1041.62711902766,36738.704,4236.91,7286.346,2104.286,2380.485,1142.55581053533,4933.715,1485.955,5399.579,0.54692429,5,2341.741,1605.234,0.155509229979187,36545.207,4229.179,5683.117,2743.383,39,7,4367.13,4457.865,566.585,487.122779428417,0.137356262825897,17159.618,2518.322,2356.981,1115.12381559952,0.772918534071473,2247.995,1072.91776089737,1737.517,932.691242551874
7631.812,4332.684,1777.961,617.682162136942,85,92,285513.5,0.217089720615019,2391.145,721.724382773764,519.093,316.968973352762,19,Nbclus_019,1210.848335,103.4001005,2962.250919,0,0,917.228,2490.027,607.036,326.870527239883,0.577724893467594,4764.278,348.46,2752.442,547.25101304329,1,0.573844419,0.340767633031908,1707.222,670.743,581.766,386.634,2306.819127,1,9816.375,2214.2730229231,111.895,163.917339517654,-17.587,3803.475,-17.587,3803.475,9223.73,1429.67,1524.264,830.009,380.554,294.17295197476,12332.564,1456.439,2404.294,760.695,731.858,393.000968949509,1204.016,393.947,1773.738734,0.540022548,2,581.766,386.634,0.148934498435653,11441.513,1434.621,1704.036,850.982,5,1,1167.132,1181.841,36.884,159.232464281825,0.13716599972306,5156.358,854.967,707.277,363.508365814906,0.813796221111997,814.049,348.616864843079,662.47,329.94407776315
8096.009,3767.034,1488.125,514.939779190052,117,133,688880.25,0.224948075492679,2007.241,599.99204902584,451.525,259.778117870199,20,Nbclus_020,756.4957175,89.0351633,2129.700353,0,1,754.694,2271.384,482.088,289.025453315944,0.630691385705303,4591.171,308.418,2895.612,521.024713674509,0,0.592436975,0.419664419005802,1689.905,582.108,709.193,458.67,1440.550864,1,10498.451,2116.29076021704,201.98,211.457277978171,-1.643,3106.3,-1.643,3106.3,9519.929,1245.901,1236.782,757.128,316.894,292.44141491959,12718.77,1226.187,2018.339,621.26,480.799,300.895106046871,1645.165,571.108,1041.26354,0.590336134,2,709.193,458.67,0.150008369202498,11345.167,1181.523,1701.87,672.305,6,2,1595.396,1713.324,49.769,146.154731560142,0.139674407811356,5041.89,751.045,704.223,409.278618227492,0.829401895391196,852.911,346.585122102686,707.406,321.044095543009
