OBJECTID_1,gis_id,NAME,NBH_NAMES,NCID,population_total,population_total_margin,population_under_18,population_under_18_margin,median_family_income,median_family_income_margin,single_mother_families,single_mother_families_margin,children_poverty,children_in_poverty,children_in_poverty_margin,pop_nothisp_white,pop_nothisp_black,pop_nothisp_other,pop_hisp,pop_nothisp_white_under18,pop_nothisp_black_under18,pop_nothisp_other_under18,pop_hisp_under18,population_white_total_perc,population_white_total,population_white_total_margin,population_black_total_perc,population_black_total,population_black_total_margin,population_hisp_total_perc,population_hisp_total,population_hisp_total_margin,population_under_5_perc,population_under_5,population_under_5_margin,population_other_total_perc,population_other_total,population_other_total_margin,white_under_18_perc,white_under_18,white_under_18_margin,hispanic_under_18_perc,hispanic_under_18,hispanic_under_18_margin,no_hs_degree_25_plus,no_hs_degree_25_plus_margin,white_18,white_18_margin,hispanic_18,hispanic_18_margin,no_hs_degree_18_24,no_hs_degree_18_24_margin,libraries,grocery,rec,bus_stops,metro,RecCenters,violent_crimes,cc_cap,cc_ratio_demand,cc_ratio,cc_sub_12,cc_sub_13,vacants,math,reading,grad,dental_visit,er_ast_10,fs_client_2012,medicaid_enroll,prev_med_visit
10,Nbclus_039,Cluster 39,"Congress Heights, Bellevue, Washington Highlands",39,14486.22,1095.884,3247.942,442.452,464129.678,97948.782,220.742,226.024,0.223587796,3238.942,443.452,0.01,0.96,0.02,0.01,0,0.96,0.02,0.02,0.75,10893.006,965.616,0.106554229,1543.568,579.91,0.077693422,1125.484,851.46,0.079768083,1155.538,342.0060395,0.087934465,1273.838,800.188617,0.758124375,2462.344,532.83611,0.044335767,144,660.2524816,43.298,587.7356588,8430.662,1111.277916,791.56,1212.26483,11194.98,1057.004758,1,0,3,198,0,4,5,626,0.193272989,0.541738999,8514256.72,3803748.71,46,0.320588235,0.656470588,0.5,4658.857851,483.7777447,17117.22045,8457.859386,6318.6411
37,Nbclus_012,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",12,7928.272,1168.596,2923.524,929.544,79313,27756.992,1904.576,800.898,0.366237939,2903.634,928.522,0.75,0.06,0.11,0.07,0.69,0.08,0.15,0.08,0,16.89,122.802,0.982250357,7787.548,1173.662,0.015619293,123.834,179.416,0.13356908,1058.972,404.6452861,0,0,748.5095034,0,0,800.1903179,0.016320714,47.714,496.1615626,234.998,408.6079798,16.89,817.308023,64.384,757.2585013,4769.75,783.8832075,0,1,0,26,2,0,1,26,0.008954297,0.024552113,0,0,0,0.705,0.675,0.73,29.35966812,11.94182565,73.54372433,67.78907175,43.51790047
4,Nbclus_008,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",8,19223,2600,2028,783,371798,70260,205,305,0.103729907,1994,838,0.42,0.36,0.15,0.06,0.07,0.77,0.11,0.05,0.84,16110,2450,0.027311034,525,391,0.055506425,1067,676,0.050616449,973,590.6123361,0.092181241,1772,935.0833132,0.822485207,1668,815.2593588,0.073964497,150,686.1364621,48,713.3945606,14442,2590.529398,888,1228.127917,17147,2429.531079,2,1,1,180,6,1,3,606,0.303911735,0.622816033,710749.39,242867.74,4,0.5125,0.7975,,1110.775741,137.5255244,4308.850945,2122.880533,1551.734628
23,Nbclus_002,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2,16025.115,2317.933,3164.838,1131.59,161341.644,56842.232,1545.24,727.285,0.195861933,3138.71,1123.058,0.3,0.37,0.06,0.27,0.12,0.42,0.05,0.41,0.07,1166.589,534.9,0.86393614,13844.676,2246.746,0.033225159,532.437,694.546,0.059655048,955.979,656.3502832,0.047664307,763.826,1013.718722,0.019916975,63.034,1298.107643,0.025277755,80,850.7427665,408.65,823.7683896,1103.555,1451.098021,421.851,1466.534911,12451.627,2002.958518,1,3,4,129,0,4,5,339,0.108006155,0.3546103,5744298.1,2480378.34,38,0.321111111,0.479444444,0.683333333,3109.218578,261.1706058,6988.42781,5725.217496,4620.994573
11,Nbclus_038,Cluster 38,"Douglas, Shipley Terrace",38,11411.926,763.298,2243.947,339.026,242494.281,32599.743,231.921,224.174,0.193037442,2202.929,334.026,0.01,0.97,0.02,0.01,0,0.97,0.01,0.02,0.79,9016.205,758.584,0.03290505,375.51,204.693,0.053563965,611.268,281.326,0.077340407,882.603,244.9599156,0.163509034,1865.953,559.5204637,0.711247636,1596.002,320.6691859,0.01069544,24,318.2975634,28.721,298.9504805,7420.203,823.635289,494.514,512.117687,9139.258,729.6881864,1,1,1,90,1,1,1,212,0.096235512,0.240198594,1065723.48,488781,13,0.14,0.438,,1629.859197,166.5982959,5711.574027,2949.888321,2162.738152
19,Nbclus_004,Cluster 4,"Georgetown, Burleith/Hillandale",4,12236.978,1525.675,2460.74,831.279,228929.039,44552.761,614.176,472.582,0.199540932,2441.778,828.917,0.81,0.03,0.1,0.06,0.81,0.02,0.09,0.08,0.1,1194.64,372.905,0.776899329,9506.9,1497.245,0.088984715,1088.904,713.703,0.070892421,867.509,547.4603782,0.052144655,638.093,817.6842479,0.015215748,37.442,1030.454626,0.115704625,284.719,503.6981347,205.565,662.7868627,1157.198,1148.21743,611.331,1097.084482,9570.673,1225.80044,1,2,3,99,0,3,6,39,0.015971968,0.044956306,0,0,1,0.69,0.77,0.96,35.33986149,20.19420657,98.72723211,103.7757838,62.82642043
31,Nbclus_028,Cluster 28,Historic Anacostia,28,12606.356,1841.244,4070.605,1201.483,131948.404,38153.288,2629.526,1180.076,0.32246765,4065.142,1198.915,0.01,0.96,0.02,0.01,0,0.97,0.02,0.01,0.01,133.26,167.523,0.96372679,12149.083,1803.381,0.023591274,297.4,538.617,0.065535195,826.16,503.2450039,0.003411295,43.004,1094.571561,0.000264334,1.076,1202.42906,0.003545419,14.432,843.1029602,456.302,707.6839766,132.184,1216.806707,206.928,1347.022452,8079.449,1411.219748,0,0,0,42,0,0,1,109,0.026813331,0.131935703,1582647.19,737428.97,14,0.27,0.71,,803.3796838,81.81159335,2783.220243,1452.994224,1060.501834
36,Nbclus_026,Cluster 26,"Capitol Hill, Lincoln Park",26,7344.927,1079.459,2158.269,662.159,50886.747,9021.999,1438.124,591.354,0.293843084,2158.256,662.159,0.56,0.34,0.05,0.05,0.5,0.34,0.09,0.07,0.01,82.767,104.144,0.974425205,7157.082,1070.42,0.007215865,53,95.235,0.107182822,787.25,294.3047118,0.014178902,104.143,435.8229169,0,0,540.8942612,0,0,382.47,425.405,313.2638725,82.767,550.8804874,53,552.2496342,4761.253,882.6927862,1,3,1,138,4,1,6,56,0.025946876,0.071133693,612430,259132.72,19,0.471666667,0.696666667,0.32,868.3366305,99.60491705,3698.485072,1604.957147,1131.527253
13,Nbclus_027,Cluster 27,"Near Southeast, Navy Yard",27,15290.165,1430.205,2266.875,459.81,545082.895,82374.77,207.325,202.495,0.145474231,2224.325,445.355,0.43,0.45,0.07,0.05,0.16,0.74,0.05,0.06,0.82,12480.88,1510.945,0.048787243,745.965,533.855,0.064788706,990.63,607.29,0.051405593,786,303.8965347,0.089596482,1369.945,854.8991449,0.769621175,1744.635,421.9659356,0.022497932,51,570.747651,44,618.1695088,10736.245,1577.71674,904.63,1061.13314,12979.29,1455.730489,0,0,1,36,1,1,0,8,0.003596597,0.010178117,14272.69,14559.37,11,0.24,0.73,,140.5852614,15.66409597,579.9631534,257.87018,183.6615253
34,Nbclus_034,Cluster 34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",34,15352.668,1989.618,2346.978,891.536,262709.909,39092.733,1152.856,707.497,0.152065556,2334.612,890.527,0.02,0.94,0.02,0.02,0,0.95,0.02,0.02,0.02,371.651,339.122,0.94716801,14541.556,1965.955,0.012790285,196.365,288.815,0.050725125,778.766,575.9463659,0.02585492,396.942,1132.740713,0.000713258,1.674,1424.407743,0.005627236,13.207,972.0164408,386.579,775.8319201,369.977,1478.121126,183.158,1450.579304,12619.111,1750.067786,2,1,2,89,0,2,9,172,0.073673912,0.220862236,2094675.35,818781.36,28,0.186,0.546,0.4,2894.365136,289.5600162,9923.313723,5200.254456,3766.041738
