OBJECTID_1,gis_id,NAME,NBH_NAMES,NCID,population_total,population_total_margin,population_under_18,population_under_18_margin,median_family_income,median_family_income_margin,single_mother_families,single_mother_families_margin,children_poverty,children_in_poverty,children_in_poverty_margin,pop_nothisp_white,pop_nothisp_black,pop_nothisp_other,pop_hisp,pop_nothisp_white_under18,pop_nothisp_black_under18,pop_nothisp_other_under18,pop_hisp_under18,population_white_total_perc,population_white_total,population_white_total_margin,population_black_total_perc,population_black_total,population_black_total_margin,population_hisp_total_perc,population_hisp_total,population_hisp_total_margin,population_under_5_perc,population_under_5,population_under_5_margin,population_other_total_perc,population_other_total,population_other_total_margin,white_under_18_perc,white_under_18,white_under_18_margin,hispanic_under_18_perc,hispanic_under_18,hispanic_under_18_margin,no_hs_degree_25_plus,no_hs_degree_25_plus_margin,white_18,white_18_margin,hispanic_18,hispanic_18_margin,no_hs_degree_18_24,no_hs_degree_18_24_margin,libraries,grocery,rec,bus_stops,metro,RecCenters,violent_crimes,cc_cap,cc_ratio_demand,cc_ratio,cc_sub_12,cc_sub_13,vacants,math,reading,grad,dental_visit,er_ast_10,fs_client_2012,medicaid_enroll,prev_med_visit
24,Nbclus_022,Cluster 22,"Brookland, Brentwood, Langdon",22,6513.487,727.941,1064.975,392.126,90651.203,19743.082,224.377,194.273,0.155755742,1014.513,359.73,0.13,0.77,0.04,0.06,0.06,0.83,0.04,0.07,0.05,311.231,223.836,0.886493364,5774.163,708.527,0.043815701,285.393,191.274,0.0725771,472.73,220.5764865,0.033086425,215.508,369.4169715,0.040423484,43.05,469.6861857,0.000123947,0.132,356.3646159,35.62,317.8762603,268.181,552.7964202,218.138,537.8194513,5412.892,634.6623938,1,1,2,120,1,2,6,129,0.127154605,0.272883041,1829754.75,702294.85,16,0.382857143,0.805714286,0.555,1061.677591,104.8403616,3448.470777,1869.394754,1401.338078
30,Nbclus_010,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",10,5945.9,862.654,1642.771,454.506,52839.153,13675.462,1159.9,450.426,0.276207975,1642.305,454.506,0.77,0.1,0.07,0.06,0.78,0.06,0.09,0.07,0,26.093,122.757,0.989549774,5883.764,864.052,0.00083957,4.992,126.287,0.073530164,437.203,262.3674585,0.006201752,36.875,466.0778002,0.000283667,0.466,546.4854202,0,0,392.35,143.448,282.8136154,25.627,564.2833613,4.992,575.1511327,4159.681,652.9265117,1,2,2,115,0,2,1,37,0.022529311,0.084628879,0,0,2,0.91,0.68,,52.2112389,14.42645109,142.4352701,108.4169914,83.17404038
6,Nbclus_030,Cluster 30,"Mayfair, Hillbrook, Mahaning Heights",30,19407.726,1990.621,759.384,406.183,435517.893,64828.484,157.161,333.761,0.036736864,712.979,423.264,0.01,0.95,0.02,0.02,0,0.96,0.01,0.02,0.71,13844.766,1677.156,0.092524956,1795.699,764.441,0.082164495,1594.626,836.361,0.020278986,393.569,650.0079993,0.130829186,2539.097,1386.751961,0.485726589,368.853,1233.230037,0.118078601,89.667,967.2087312,14.239,906.4629219,13475.913,2113.407127,1424.764,1660.582537,18634.103,2091.260995,0,0,1,38,1,1,0,36,0.050492371,0.091470619,61667.01,19188.14,31,0.51,0.863333333,0.8,1085.052769,98.62930063,3521.300864,1883.480441,1307.229619
9,Nbclus_029,Cluster 29,"Eastland Gardens, Kenilworth",29,12122,1491,1236,660,231462,33965,698,483,0.101633394,1232,661,0.01,0.96,0.01,0.01,0,0.97,0.02,0.01,0.34,4069,715,0.524088434,6353,1307,0.051889127,629,460,0.030028048,364,549.045203,0.114750041,1391,1035.880498,0.042880259,53,1009.172638,0.004854369,6,734.9120978,91,599.7134822,4016,1272.238623,598,1147.146431,10795,1367.844345,0,0,0,7,0,0,0,5,0.004058442,0.013736264,38641.57,33725.19,3,0.26,0.76,,254.662576,23.14835968,826.4515557,442.0540591,306.8076243
14,Nbclus_015,Cluster 15,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",15,15471.798,1468.084,1128.54,453.919,418019.085,91043.553,123.867,246.232,0.072526024,1122.108,453.374,0.8,0.04,0.09,0.08,0.75,0.03,0.12,0.1,0.72,11114.481,1420.171,0.044166877,683.341,497.637,0.094037164,1454.924,830.94,0.02338862,361.864,490.7643515,0.17023768,2633.883,1468.23093,0.478352562,539.84,769.9739855,0.004600634,5.192,777.2031993,126.119,721.8883676,10574.641,1621.298223,1403.004,1366.420445,14217.139,1502.750533,1,1,3,82,2,3,1,70,0.062382587,0.19344284,47927.3,32831.56,2,0.75,0.776666667,,39.69710788,16.55397755,100.6738885,92.56120021,59.60494075
16,Nbclus_020,Cluster 20,"North Michigan Park, Michigan Park, University Heights",20,4432,327,939,183,135403,19676,42,33,0.208935018,926,183,0.12,0.79,0.04,0.05,0.07,0.79,0.06,0.08,0.18,817,212,0.709611913,3145,382,0.069043321,306,211,0.064530686,286,102.6157883,0.062951264,279,198.7687098,0.183173589,172,116.8332145,0.043663472,41,142.4605208,57,149.1978552,645,242.0619755,219,293.4058622,3436,278.361276,0,1,2,117,1,2,2,133,0.14362851,0.465034965,1512436.22,688880.25,6,0.535,0.86,,756.4957175,89.0351633,2129.700353,1440.550864,1041.26354
29,Nbclus_016,Cluster 16,"Colonial Village, Shepherd Park, North Portal Estates",16,2566.482,353.628,1299.315,324.159,40185,11048.196,709.042,300.048,0.491997216,1262.702,302.727,0.24,0.66,0.05,0.05,0.24,0.56,0.11,0.09,0,0,84.835,0.995476688,2554.873,354.521,0,0,84.835,0.080027836,205.39,128.3840854,0.009046625,23.218,190.6403372,0,0,239.9496151,0,0,169.67,5.358,147.3287627,0,254.505,0,254.505,1261.809,207.1067039,1,0,0,42,0,0,0,0,0,0,0,0,2,0.69,0.87,,195.1283661,23.83033207,547.5369238,402.8727904,302.7853957
35,Nbclus_025,Cluster 25,"Union Station, Stanton Park, Kingman Park",25,5830.888,663.16,904.57,320.692,72643.314,8190.902,511.97,239.568,0.155081353,904.262,320.538,0.49,0.42,0.05,0.04,0.31,0.56,0.07,0.06,0.03,175.67,115.08,0.927995187,5411.036,663.638,0.029877439,174.212,157.806,0.032683187,190.572,160.6993783,0.015061171,87.82,312.0395367,0,0,398.2142549,0,0,281.58,133.848,259.7252733,175.67,416.0447388,174.212,431.7653133,4792.47,552.9112808,1,1,1,112,2,1,3,355,0.392585335,1.862813005,1265433.51,617511.91,54,0.253333333,0.398333333,0.57,1844.80318,223.0570804,8323.787153,3458.687614,2392.437402
5,Nbclus_005,Cluster 5,"West End, Foggy Bottom, GWU",5,15705.888,2210.068,287.339,199.419,133165.043,24566.538,9.979,205.849,0.015939182,250.339,225.419,0.75,0.05,0.14,0.06,0.58,0.1,0.21,0.11,0.68,10624.471,1753.779,0.081133903,1274.28,437.377,0.076853534,1207.053,538.142,0.010297094,161.725,351.3175302,0.184568042,2898.805,870.2359914,0.623138523,179.052,575.4258325,0.055683357,16,468.6108188,16.761,452.8464187,10445.419,1850.920859,1182.248,862.0302782,15401.788,2217.561449,1,2,0,39,1,0,1,235,0.938727086,1.453083939,15945.69,19464.78,2,0.735,0.575,0.92,7.07525786,0.842863974,136.9475593,42.74433212,10.62777682
27,Nbclus_019,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",19,1863,321,194,161,80313,11925,96,157,0.104133119,194,161,0.17,0.69,0.03,0.11,0.02,0.75,0.03,0.19,0.53,995,273,0.342995169,639,236,0.033816425,63,64,0.047235641,88,113.9736812,0.113258186,211,195.8698548,0.304123711,59,236.2181195,0,0,190,0,190,936,361.0096952,63,276.2173058,1669,330.1514804,1,0,2,85,1,2,1,92,0.474226804,1.045454545,651485.55,285513.5,5,0.54,0.66,,1210.848335,103.4001005,2962.250919,2306.819127,1773.738734
40,Nbclus_044,Cluster 44,Joint Base Anacostia-Bolling,44,428.098,79.134,54.571,25.289,6765.11,769.923,23.595,13.673,0.127473149,54.571,25.289,,,,,,,,,0.21,90.629,51.183,0.56302996,241.032,46.585,0.197569248,84.579,48.279,0.070096099,30.008,17.66765746,0.02996043,12.826,18.94451987,0.084257206,4.598,23.27795975,0.21286031,11.616,20.39810234,10.164,14.93014484,86.031,56.22777693,61.468,55.91168964,363.363,72.57922536,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,394.6516968,40.980797,1449.999187,716.4649932,535.2518819
43,Nbclus_041,Cluster 41,Rock Creek Park,41,23.205,2.408,10.01,1.197,186.767,45.465,7.217,1.463,0.428355958,9.94,1.204,,,,,,,,,0.01,0.273,0.28,0.985218703,22.862,2.401,0.003016591,0.07,0.119,0.106485671,2.471,0.956749183,0,0,1.759424622,0,0,1.880904038,0,0,1.33,0.574,1.048201794,0.273,1.901630879,0.07,1.884664692,12.621,2.284650301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.91,,,,,,
45,Nbclus_042,Cluster 42,Observatory Circle,42,8.301,95.813,0.882,95.213,256.452,46.164,0.042,95.063,0.106252259,0.882,95.213,,,,,,,,,0.84,6.96,95.693,0.044813878,0.372,95.24,0.050234911,0.417,95.315,0.048066498,0.399,164.7172941,0.081676906,0.678,251.9021443,0.591836735,0.522,269.0568576,0.023809524,0.021,190.4949455,0,190.57,6.438,285.7792208,0.324,285.7706848,7.419,213.3780586,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
42,Nbclus_040,Cluster 40,Walter Reed,40,4.299,0.555,0.597,0.123,547.734,218.397,0.024,0.039,0.138869505,0.597,0.123,,,,,,,,,0.74,3.165,0.63,0.025122121,0.108,0.09,0.18004187,0.774,0.39,0.033496162,0.144,0.102,0.066992324,0.288,0.598490601,0.59798995,0.357,0.446637437,0.040201005,0.024,0.494945452,0.093,0.501242456,2.808,0.772259671,0.534,0.704163333,3.609,0.730208874,0,0,0,0,0,0,1,0,0,0,0,0,0,0.38,0.85,,18.33746704,2.239489509,51.45556484,37.86054618,28.45469024
41,Nbclus_045,Cluster 45,"National Mall, Potomac River",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,
46,Nbclus_046,Cluster 46,"Arboretum, Anacostia River",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,
