gis_id,NAME,population_total_val,children_u18_in_poverty_2007,children_u18_in_poverty_2010,children_u18_in_poverty_2014,children_u18_in_poverty_delta_07_14,children_u18_in_poverty_delta_10_14
E01008261,Gateshead 019C,14311.00,10,15,10,0,-0.333333333
E01008262,Gateshead 009A,11798.00,5,10,5,0,-0.5
E01008263,Gateshead 009B,10252.00,10,10,5,-0.5,-0.5
E01008264,Gateshead 009C,6896.00,5,0,0,-1,0
E01008265,Gateshead 009D,18041.00,10,10,5,-0.5,-0.5
E01008266,Gateshead 009E,7335.00,0,0,0,0,0
E01008267,Gateshead 017A,18034.00,5,15,10,1,-0.333333333
E01008268,Gateshead 019D,5338.00,15,10,10,-0.333333333,0
E01008269,Gateshead 017B,14296.00,0,5,0,0,-1
E01008270,Gateshead 017C,10696.00,0,0,0,0,0
E01008271,Gateshead 017D,11032.00,10,0,0,-1,0
E01008272,Gateshead 019E,8110.00,0,5,5,0,0
E01008273,Gateshead 019F,17799.00,0,0,5,0,0
E01008274,Gateshead 019G,10429.00,20,15,10,-0.5,-0.333333333
E01008275,Gateshead 017E,5424.00,0,0,0,0,0
E01008276,Gateshead 005D,18274.00,5,15,5,0,-0.666666667
E01008277,Gateshead 004D,15965.00,15,15,10,-0.333333333,-0.333333333
E01008278,Gateshead 022D,10346.00,0,0,0,0,0
E01008279,Gateshead 005E,19623.00,5,0,0,-1,0
E01008280,Gateshead 004E,7108.00,0,15,15,0,0
E01008281,Gateshead 015E,8729.00,15,10,10,-0.333333333,0
E01008282,Gateshead 015F,8087.00,10,10,5,-0.5,-0.5
E01008283,Gateshead 014A,15091.00,0,0,0,0,0
E01008284,Gateshead 014B,12990.00,0,0,0,0,0
E01008285,Gateshead 018E,12537.00,15,10,5,-0.666666667,-0.5
E01008286,Gateshead 014C,16375.00,5,5,0,-1,-1
E01008287,Gateshead 014D,18973.00,5,5,5,0,0
E01008288,Newcastle upon Tyne 027A,11439.00,10,10,5,-0.5,-0.5
E01008289,Newcastle upon Tyne 027B,6036.00,10,10,15,0.5,0.5
E01008290,Newcastle upon Tyne 027C,5102.00,15,25,20,0.333333333,-0.2
E01008291,Newcastle upon Tyne 027D,19097.00,30,45,30,0,-0.333333333
E01008292,Newcastle upon Tyne 027E,16729.00,5,5,5,0,0
E01008293,Newcastle upon Tyne 004A,13763.00,5,10,5,0,-0.5
E01008294,Newcastle upon Tyne 001A,14026.00,0,5,5,0,0
E01008295,Newcastle upon Tyne 008A,14635.00,20,25,20,0,-0.2
E01008296,Newcastle upon Tyne 011A,9621.00,10,10,20,1,1
E01008297,Newcastle upon Tyne 011B,19614.00,10,5,5,-0.5,0
E01008298,Newcastle upon Tyne 011C,10448.00,10,0,10,0,0
E01008299,Newcastle upon Tyne 011D,10739.00,0,20,15,0,-0.25
E01008300,Newcastle upon Tyne 016A,10398.00,15,5,10,-0.333333333,1
E01008301,Newcastle upon Tyne 026A,17852.00,15,20,5,-0.666666667,-0.75
E01008302,Newcastle upon Tyne 026B,19052.00,20,25,10,-0.5,-0.6
E01008303,Newcastle upon Tyne 018A,10967.00,10,15,15,0.5,0
E01008304,Newcastle upon Tyne 026C,14272.00,15,30,15,0,-0.5
E01008305,Newcastle upon Tyne 026D,5354.00,35,30,30,-0.142857143,0
E01008306,Newcastle upon Tyne 001B,12903.00,10,5,5,-0.5,0
E01008307,Newcastle upon Tyne 001C,16529.00,0,10,5,0,-0.5
E01008308,Newcastle upon Tyne 001D,15326.00,5,5,10,1,1
E01008309,Newcastle upon Tyne 002A,19348.00,0,0,0,0,0
E01008311,Newcastle upon Tyne 001E,10458.00,5,0,0,-1,0
E01008312,Newcastle upon Tyne 001F,15299.00,0,10,0,0,-1
E01008313,Newcastle upon Tyne 001G,15004.00,5,5,5,0,0
E01008314,Newcastle upon Tyne 012A,7238.00,0,5,5,0,0
E01008315,Newcastle upon Tyne 012B,17678.00,5,15,20,3,0.333333333
E01008316,Newcastle upon Tyne 012C,17633.00,5,5,0,-1,-1
E01008317,Newcastle upon Tyne 007A,19827.00,10,5,5,-0.5,0
E01008318,Newcastle upon Tyne 012D,13239.00,5,10,10,1,0
E01008319,Newcastle upon Tyne 007B,13193.00,10,5,5,-0.5,0
E01008320,Newcastle upon Tyne 007C,17758.00,10,0,5,-0.5,0
E01008321,Newcastle upon Tyne 007D,15987.00,5,5,5,0,0
E01008322,Newcastle upon Tyne 007E,12842.00,5,5,0,-1,-1
E01008323,Newcastle upon Tyne 007F,10208.00,5,5,0,-1,-1
E01008324,Newcastle upon Tyne 015A,11172.00,10,10,10,0,0
E01008325,Newcastle upon Tyne 015B,8152.00,10,10,15,0.5,0.5
E01008326,Newcastle upon Tyne 015C,12758.00,0,5,0,0,-1
E01008327,Newcastle upon Tyne 015D,17761.00,15,20,10,-0.333333333,-0.5
E01008328,Newcastle upon Tyne 015E,15367.00,0,0,0,0,0
E01008329,Newcastle upon Tyne 015F,18854.00,10,5,15,0.5,2
E01008330,Newcastle upon Tyne 015G,13248.00,5,10,20,3,1
E01008331,Newcastle upon Tyne 029A,12355.00,25,40,25,0,-0.375
E01008332,Newcastle upon Tyne 029B,6850.00,25,40,55,1.2,0.375
E01008333,Newcastle upon Tyne 029C,11756.00,40,20,5,-0.875,-0.75
E01008334,Newcastle upon Tyne 029D,13577.00,35,30,10,-0.714285714,-0.666666667
E01008335,Newcastle upon Tyne 029E,8693.00,20,30,20,0,-0.333333333
E01008336,Newcastle upon Tyne 003A,11252.00,20,15,20,0,0.333333333
E01008337,Newcastle upon Tyne 003B,8753.00,15,15,15,0,0
E01008338,Newcastle upon Tyne 003C,13509.00,15,15,15,0,0
E01008339,Newcastle upon Tyne 003D,19885.00,15,5,10,-0.333333333,1
E01008340,Newcastle upon Tyne 003E,19190.00,10,30,20,1,-0.333333333
E01008341,Newcastle upon Tyne 003F,10303.00,10,10,5,-0.5,-0.5
E01008342,Newcastle upon Tyne 003G,18545.00,5,0,0,-1,0
E01008343,Newcastle upon Tyne 019A,19902.00,20,10,15,-0.25,0.5
E01008344,Newcastle upon Tyne 019B,9016.00,5,10,5,0,-0.5
E01008345,Newcastle upon Tyne 019C,17482.00,10,10,10,0,0
E01008346,Newcastle upon Tyne 019D,18605.00,10,15,15,0.5,0
E01008347,Newcastle upon Tyne 019E,16537.00,10,15,10,0,-0.333333333
E01008348,Newcastle upon Tyne 019F,13991.00,5,10,15,2,0.5
E01008349,Newcastle upon Tyne 019G,14822.00,10,15,25,1.5,0.666666667
E01008350,Newcastle upon Tyne 019H,6470.00,10,5,5,-0.5,0
E01008351,Newcastle upon Tyne 005A,15156.00,5,5,5,0,0
E01008352,Newcastle upon Tyne 002C,7607.00,10,15,15,0.5,0
E01008353,Newcastle upon Tyne 006A,7888.00,10,5,5,-0.5,0
E01008354,Newcastle upon Tyne 005B,14338.00,0,0,5,0,0
E01008355,Newcastle upon Tyne 006B,5249.00,5,10,0,-1,-1
E01008356,Newcastle upon Tyne 006C,14901.00,5,0,0,-1,0
E01008357,Newcastle upon Tyne 002D,17325.00,0,5,0,0,-1
E01008358,Newcastle upon Tyne 002E,17403.00,0,10,10,0,0
E01008359,Newcastle upon Tyne 018B,12245.00,5,5,5,0,0
E01008360,Newcastle upon Tyne 018C,9854.00,0,0,0,0,0
E01008361,Newcastle upon Tyne 018D,14145.00,10,15,10,0,-0.333333333
E01008362,Newcastle upon Tyne 018E,14262.00,5,5,5,0,0
E01008363,Newcastle upon Tyne 012E,9951.00,0,0,0,0,0
E01008364,Newcastle upon Tyne 018F,11345.00,5,5,10,1,1
E01008365,Newcastle upon Tyne 012F,10707.00,5,5,5,0,0
E01008366,Newcastle upon Tyne 013A,6992.00,5,0,0,-1,0
E01008367,Newcastle upon Tyne 017A,7011.00,5,0,0,-1,0
E01008368,Newcastle upon Tyne 017B,11279.00,0,0,0,0,0
E01008369,Newcastle upon Tyne 013B,8195.00,0,0,0,0,0
E01008370,Newcastle upon Tyne 017C,9058.00,5,0,0,-1,0
E01008371,Newcastle upon Tyne 013C,9914.00,0,0,0,0,0
E01008372,Newcastle upon Tyne 013D,17516.00,0,0,0,0,0
E01008373,Newcastle upon Tyne 013E,9800.00,0,5,5,0,0
E01008374,Newcastle upon Tyne 008B,18587.00,5,10,15,2,0.5
E01008375,Newcastle upon Tyne 008C,16728.00,15,10,10,-0.333333333,0
E01008376,Newcastle upon Tyne 008D,12049.00,5,0,0,-1,0
E01008377,Newcastle upon Tyne 008E,15642.00,15,20,20,0.333333333,0
E01008378,Newcastle upon Tyne 006D,5234.00,0,5,10,0,1
E01008379,Newcastle upon Tyne 008F,11275.00,5,10,5,0,-0.5
E01008380,Newcastle upon Tyne 008G,15443.00,15,35,30,1,-0.142857143
E01008381,Newcastle upon Tyne 021A,16182.00,5,0,5,0,0
E01008382,Newcastle upon Tyne 021B,6514.00,15,15,10,-0.333333333,-0.333333333
E01008383,Newcastle upon Tyne 021C,7272.00,10,15,10,0,-0.333333333
E01008384,Newcastle upon Tyne 021D,14404.00,10,5,10,0,1
E01008385,Newcastle upon Tyne 021E,8957.00,10,15,10,0,-0.333333333
E01008386,Newcastle upon Tyne 021F,5107.00,5,0,0,-1,0
E01008387,Newcastle upon Tyne 021G,16231.00,5,0,5,0,0
E01008388,Newcastle upon Tyne 028A,7136.00,30,15,20,-0.333333333,0.333333333
E01008389,Newcastle upon Tyne 028B,6908.00,15,20,20,0.333333333,0
E01008390,Newcastle upon Tyne 030A,15016.00,20,30,30,0.5,0
E01008391,Newcastle upon Tyne 026E,6247.00,20,15,10,-0.5,-0.333333333
E01008392,Newcastle upon Tyne 026F,17634.00,20,15,10,-0.5,-0.333333333
E01008394,Newcastle upon Tyne 024A,12298.00,0,0,0,0,0
E01008395,Newcastle upon Tyne 024B,18457.00,0,10,5,0,-0.5
E01008396,Newcastle upon Tyne 022B,18650.00,20,30,30,0.5,0
E01008397,Newcastle upon Tyne 024C,6981.00,0,0,0,0,0
E01008398,Newcastle upon Tyne 022C,18525.00,25,10,30,0.2,2
E01008399,Newcastle upon Tyne 024D,18267.00,25,15,15,-0.4,0
E01008400,Newcastle upon Tyne 014A,11574.00,5,10,5,0,-0.5
E01008401,Newcastle upon Tyne 014B,9004.00,15,5,10,-0.333333333,1
E01008402,Newcastle upon Tyne 014C,7299.00,20,5,10,-0.5,1
E01008403,Newcastle upon Tyne 014D,12035.00,5,5,5,0,0
E01008404,Newcastle upon Tyne 014E,16811.00,15,5,5,-0.666666667,0
E01008405,Newcastle upon Tyne 014F,8783.00,15,10,10,-0.333333333,0
E01008406,Newcastle upon Tyne 023A,12547.00,5,10,15,2,0.5
E01008407,Newcastle upon Tyne 023B,10321.00,0,0,5,0,0
E01008409,Newcastle upon Tyne 017D,9268.00,0,0,5,0,0
E01008410,Newcastle upon Tyne 023D,13470.00,0,0,5,0,0
E01008411,Newcastle upon Tyne 017E,9295.00,0,0,0,0,0
E01008412,Newcastle upon Tyne 023E,11516.00,0,0,5,0,0
E01008413,Newcastle upon Tyne 023F,16508.00,5,5,10,1,1
E01008415,Newcastle upon Tyne 025B,14608.00,10,10,10,0,0
E01008416,Newcastle upon Tyne 025C,17247.00,10,10,10,0,0
E01008418,Newcastle upon Tyne 005C,10628.00,10,5,0,-1,-1
E01008419,Newcastle upon Tyne 006E,7457.00,5,5,5,0,0
E01008420,Newcastle upon Tyne 005D,6366.00,5,5,5,0,0
E01008421,Newcastle upon Tyne 006F,8302.00,5,5,10,1,1
E01008422,Newcastle upon Tyne 005E,7918.00,5,0,0,-1,0
E01008423,Newcastle upon Tyne 006G,19054.00,0,0,0,0,0
E01008424,Newcastle upon Tyne 005F,5979.00,5,15,10,1,-0.333333333
E01008425,Newcastle upon Tyne 030B,5120.00,5,5,5,0,0
E01008426,Newcastle upon Tyne 028C,14169.00,10,20,30,2,0.5
E01008427,Newcastle upon Tyne 030C,5036.00,20,10,10,-0.5,0
E01008428,Newcastle upon Tyne 030D,7616.00,15,10,10,-0.333333333,0
E01008429,Newcastle upon Tyne 028D,18672.00,20,10,15,-0.25,0.5
E01008430,Newcastle upon Tyne 020A,11305.00,5,5,5,0,0
E01008431,Newcastle upon Tyne 020B,16481.00,0,0,5,0,0
E01008432,Newcastle upon Tyne 026G,10863.00,5,5,5,0,0
E01008433,Newcastle upon Tyne 020C,12370.00,10,0,0,-1,0
E01008434,Newcastle upon Tyne 020D,16568.00,5,10,5,0,-0.5
E01008435,Newcastle upon Tyne 020E,8351.00,10,10,15,0.5,0.5
E01008436,Newcastle upon Tyne 020F,11179.00,20,15,15,-0.25,0
E01008437,Newcastle upon Tyne 029F,15011.00,10,20,5,-0.5,-0.75
E01008438,Newcastle upon Tyne 029G,5969.00,10,15,20,1,0.333333333
E01008439,Newcastle upon Tyne 024E,5812.00,15,10,20,0.333333333,1
E01008441,Newcastle upon Tyne 031A,12882.00,5,10,10,1,0
E01008442,Newcastle upon Tyne 031B,15422.00,5,5,0,-1,-1
E01008443,Newcastle upon Tyne 014G,16932.00,10,0,5,-0.5,0
E01008444,Newcastle upon Tyne 031C,15701.00,0,5,0,0,-1
E01008445,Newcastle upon Tyne 031D,8707.00,5,5,0,-1,-1
E01008446,Newcastle upon Tyne 031E,19627.00,0,5,0,0,-1
E01008447,Newcastle upon Tyne 031F,6856.00,5,5,5,0,0
E01008448,Newcastle upon Tyne 031G,9467.00,5,5,5,0,0
E01008449,Newcastle upon Tyne 022D,5728.00,10,20,15,0.5,-0.25
E01008450,Newcastle upon Tyne 016B,17995.00,15,10,20,0.333333333,1
E01008451,Newcastle upon Tyne 016C,7672.00,10,15,15,0.5,0
E01008452,Newcastle upon Tyne 016D,9685.00,15,10,5,-0.666666667,-0.5
E01008453,Newcastle upon Tyne 022E,18644.00,15,5,5,-0.666666667,0
E01008455,Newcastle upon Tyne 022G,18637.00,20,10,15,-0.25,0.5
E01008456,Newcastle upon Tyne 004B,14674.00,15,10,10,-0.333333333,0
