gis_id,NAME,NBH_NAMES,NCID,population_total_val,population_under_18_val,population_under_5_val,total_neighborhood_poverty_perc,children_in_poverty_perc,single_mother_families_perc,youth_ready_to_work_perc,medicaid_enroll_val,prev_med_visit_val,dental_visit_val,er_ast_10_val,fs_client_2012_val,math_perc,reading_perc,cc_cap_val,cc_pop_ratio_perc,cc_child_pov_perc,cc_sub_13_cur,homeownership_perc,vacants_val,libraries_val,grocery_val,rec_val,metro_val,bus_stops_val,total_crime_val,total_crime_pc_val,homicide_val,homicide_pc_val,assault_val,assault_pc_val,robbery_val,robbery_pc_val,sex_abuse_val,sex_abuse_pc_val,,,white_18,black_18,hispanic_18,other_18,other_under_18,no_hs_degree_18_24,,children_in_poverty_numer,children_in_poverty_denom,population_other_total,white_under_18,black_under_18,hispanic_under_18,no_hs_degree_25_plus,youth_ready_to_work_numer,youth_ready_to_work_denom,homeownership_numer,work_numer,median_family_income,pop_nothisp_white_perc,pop_nothisp_black_perc,pop_nothisp_other_perc,pop_hisp_perc,pop_nothisp_white_under18_perc,pop_nothisp_black_under18_perc,pop_nothisp_other_under18_perc,pop_hisp_under18_perc
Nbclus_011,Cluster 11,"Friendship Heights, American University Park, Tenleytown",11,11661.32,2304.584,696.773,0.052501546,0.013566691,0.09307686,0.885881537,56.73038402,40.28443008,,,68.91836008,0.936758893,0.942687747,23,0.061144357,,0,0.733662075,0,1,3,2,2,88,34,2.915621902,0,0,6,0.514521512,27,2.315346805,1,0.085753585,,,7706.437,300.3,438.368,485.084,485.084,730.4630792,,30.994,2284.566,1396.715,1634.934,73.383,111.183,22.174,568.262,641.465,3318.132,216.042,0.09307686,0.79,0.05,0.09,0.07,0.76,0.03,0.13,0.08
Nbclus_012,Cluster 12,"North Cleveland Park, Forest Hills, Van Ness",12,12401.911,1341.48,538.327,0.083741705,0.048957805,0.061056061,0.91264029,67.78907175,43.51790047,,,73.54372433,0.895287958,0.858638743,26,0.082994969,0.031464808,0,0.371929706,0,0,1,0,2,26,6,0.483796408,0,0,1,0.080632735,3,0.241898204,2,0.161265469,,,8379.483,608.497,864.241,254.542,254.542,816.6413925,,65.578,1339.48,1478.972,911.092,36.891,138.955,51.018,1018.502,1115.995,2453.078,269.889,0.061056061,0.75,0.06,0.11,0.07,0.69,0.08,0.15,0.08
Nbclus_013,Cluster 13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",13,15563.12,2456.235,629.715,0.093721448,0,0.087131339,0.77665472,80.17218045,53.5045544,31.34421038,,89.52396086,0.901515152,0.901515152,36,0.089241448,,0,0.697621564,1,1,1,2,0,83,9,0.578290214,0,0,5,0.321272341,3,0.192763405,1,0.064254468,,,10611.57,793.96,1007.745,355.895,355.895,2801.759004,,0,2410.96,1078.605,1843.69,115,141.65,74,753.025,969.575,3594.38,188.385,0.087131339,0.8,0.04,0.09,0.07,0.8,0.03,0.1,0.07
Nbclus_014,Cluster 14,"Cathedral Heights, McLean Gardens, Glover Park",14,15581.874,1401.845,473.539,0.1018932,0,0.105293204,0.963198366,121.5271078,79.6672448,46.42814834,,131.9208652,0.896153846,0.873076923,5,0.013341267,0.807102502,0,0.460671758,0,0,2,2,0,70,16,1.026834128,0,0,5,0.320885665,10,0.64177133,1,0.064177133,,,10863.399,722.445,1342.956,553.542,553.542,1131.768011,,0,1398.138,1815.671,699.301,31,118.002,29,1178.714,1223.75,4231.242,472.359,0.105293204,0.76,0.05,0.1,0.09,0.61,0.06,0.17,0.17
Nbclus_015,Cluster 15,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",15,14249.809,1327.388,535.306,0.072990624,0,0.060298019,1,92.56120021,59.60494075,39.69710788,,100.6738885,0.913875598,0.875598086,70,0.163825848,0.743984355,32831.56,0.394357247,2,1,1,3,2,82,28,1.964938618,1,0.070176379,4,0.280705517,21,1.473703963,2,0.140352758,,,9974.292,660.861,1025.705,143.514,143.514,995.9791666,,0,1327.388,1458.857,922.298,12,249.576,17.22,1186.286,1186.286,3131.598,435.677,0.060298019,0.8,0.04,0.09,0.08,0.75,0.03,0.12,0.1
Nbclus_016,Cluster 16,"Colonial Village, Shepherd Park, North Portal Estates",16,4287,891,236,0.036282772,0.007954545,0.06271777,0.297619048,402.8727904,302.7853957,195.1283661,,547.5369238,0.755813953,0.73255814,0,0,0,0,0.886642157,2,1,0,0,0,42,22,5.131793795,1,0.233263354,9,2.099370189,12,2.799160252,0,0,,,677,2412,190,22,22,94.47674419,,7,880,157,213,578,78,41,25,84,1447,181,0.06271777,0.24,0.66,0.05,0.05,0.24,0.56,0.11,0.09
Nbclus_017,Cluster 17,"Takoma, Brightwood, Manor Park",17,21462.712,3952.53,1220.139,0.156271722,0.236420151,0.31596391,0.771432844,3467.917127,2658.513244,1789.934479,164.489897,4494.125072,0.587852495,0.563991323,221,0.291458294,3.112719897,420332.91,0.484368179,12,1,1,2,1,100,191,8.899154962,0,0,50,2.329621718,133,6.19679377,8,0.372739475,,,1545.458,12606.037,2995.379,88.972,88.972,1132.037167,,926.262,3917.864,681.48,183.406,2310.943,1369.209,450.592,1104.023,1431.133,4104.209,1179.907,0.31596391,0.12,0.66,0.04,0.18,0.07,0.58,0.06,0.29
Nbclus_018,Cluster 18,"Brightwood Park, Crestwood, Petworth",18,36738.704,7286.346,2380.485,0.15550923,0.232579619,0.411548499,0.772918534,6988.208305,5399.579,3686.474135,303.3191796,8881.675502,0.58477918,0.54692429,385,0.277131537,15.5210643,2234298.2,0.551353739,39,1,2,4,1,159,412,11.21433135,2,0.054438502,132,3.592941112,266,7.240320726,12,0.32663101,,,4367.13,18065.559,6178.383,217.615,217.615,1612.796105,,1662.444,7147.849,1605.971,566.585,4390.656,2111.49,726.526,1737.517,2247.995,7560.909,2356.981,0.411548499,0.13,0.59,0.04,0.24,0.07,0.53,0.05,0.35
Nbclus_019,Cluster 19,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",19,12332.564,2404.294,731.858,0.148934498,0.217089721,0.340767633,0.813796221,2306.819127,1773.738734,1210.848335,103.4001005,2962.250919,0.573844419,0.540022548,92,0.187027603,,285513.5,0.577724893,5,1,0,2,1,85,81,6.567977267,2,0.162172278,36,2.919101008,41,3.324531703,2,0.162172278,,,1167.132,7631.812,917.228,-17.587,-17.587,943.1045334,,519.093,2391.145,380.554,36.884,1777.961,607.036,111.895,662.47,814.049,2752.442,707.277,0.340767633,0.17,0.69,0.03,0.11,0.02,0.75,0.03,0.19
Nbclus_020,Cluster 20,"North Michigan Park, Michigan Park, University Heights",20,12718.77,2018.339,480.799,0.150008369,0.224948075,0.419664419,0.829401895,1440.550864,1041.26354,756.4957175,89.0351633,2129.700353,0.592436975,0.590336134,133,0.491516717,9.213078415,688880.25,0.630691386,6,0,1,2,1,117,69,5.425052894,2,0.15724791,20,1.5724791,41,3.223582155,6,0.47174373,,,1595.396,8096.009,754.694,-1.643,-1.643,1015.641261,,451.525,2007.241,316.894,49.769,1488.125,482.088,201.98,707.406,852.911,2895.612,704.223,0.419664419,0.12,0.79,0.04,0.05,0.07,0.79,0.06,0.08
