code,name,enroll_val,math_perc,reading_perc,tanfsnap_perc,isa_perc,grad_perc,lat,long
405,Deal MS,1341,0.503,0.626,0.072408537,0.952,,38.952408,-77.074124
407,Eliot Hine MS,209,0.012,0.092,0.618677043,0.902,,38.892084,-76.978874
409,School Without Walls at Francis Stevens,441,0.25,0.263,0.256038647,0.935,,38.907315,-77.052956
413,Hart MS,381,0.012,0.021,0.814196242,0.914,,38.838331,-76.996479
416,Johnson  John Hayden MS,291,0.02,0.038,0.776632302,0.945,,38.850193,-76.984302
417,Kramer MS,247,0.005,0.028,0.801801802,0.915,,38.870743,-76.979906
421,Kelly Miller MS,450,0.07,0.077,0.697802198,0.875,,38.89402,-76.932904
427,Sousa MS,255,0.026,0.078,0.732394366,0.912,,38.883704,-76.954698
428,Stuart Hobson MS (Capitol Hill Cluster),424,0.111,0.242,0.338061466,0.947,,38.896195,-77.000325
433,Jefferson Middle School Academy,273,0.158,0.166,0.63898917,0.908,,38.879792,-77.021977
435,Mckinley Middle School,226,0.039,0.093,0.579207921,0.875,,38.91522012,-77.00412244
442,Columbia Heights EC (CHEC),1393,0.053,0.187,0.347543353,0.839,0.836363636,38.929165,-77.036473
450,Anacostia HS,597,0,0.027,0.71709531,0.60,0.464,38.87105,-76.982299
452,Ballou HS,933,0.004,0.029,0.713907285,0.655,0.515,38.83629,-77.000759
454,Cardozo EC,783,0.022,0.068,0.390524968,0.749,0.519,38.923315,-77.026962
455,Coolidge HS,384,0,0.111,0.473417722,0.816,0.577,38.966599,-77.019821
457,Eastern HS,967,0.011,0.175,0.570731707,0.759,.708,38.8898,-76.978991
458,McKinley Technology HS,656,0.104,0.361,0.317829457,0.925,0.965,38.915488,-77.00429
459,Roosevelt HS at MacFarland,482,0.006,0.071,0.384453782,0.759,0.621,38.945062,-77.029703
463,Wilson HS,1791,0.184,0.209,0.152684564,0.853,0.776,38.950653,-77.077994
464,Woodson H D HS,660,0.009,0.036,0.636932707,0.732,0.71,38.896657,-76.921968
466,School Without Walls HS,589,0.521,0.841,0.079661017,0.926,0.953,38.898248,-77.048244
467,Dunbar HS,653,0.008,0.048,0.603369066,0.69,0.656,38.908574,-77.015908
471,Ellington School of the Arts,525,0.088,0.387,0.212237094,0.908,0.871,38.913612,-77.071114
474,Washington Metropolitan HS (formerly YEA),150,0,0,0.713114754,0.587,0.376,38.920437,-77.016776
478,Phelps Architecture Construction and Engineering HS,306,0.011,0.133,0.393188854,0.867,0.884,38.900343,-76.970306
884,Luke Moore Alternative HS,297,0,0,0.611428571,0.53,0.399,38.932537,-76.990997
