neighborhood,black_18,black_under_18,county,hispanic_18,hispanic_under_18,other_18,other_under_18,population_black_total,population_hisp_total,population_other_total,population_total,population_under_18,population_under_3,population_under_5,population_white_total,poverty_under_5,state,white_18,white_under_18,children_in_poverty_ratio,homeownership_ratio,median_family_income_ratio,no_hs_degree_18_24_ratio,no_hs_degree_25_plus_ratio,single_mother_families_perc_ratio,total_neighborhood_poverty_ratio,work_ratio,youth_ready_to_work_ratio,black_18_margin,black_under_18_margin,hispanic_18_margin,hispanic_under_18_margin,other_18_margin,other_under_18_margin,population_black_total_margin,population_hisp_total_margin,population_other_total_margin,population_total_margin,population_under_18_margin,population_under_3_margin,population_under_5_margin,population_white_total_margin,poverty_under_5_margin,white_18_margin,white_under_18_margin
13,905.71,115.2,3.455,1209.175,247.005,275.57,275.57,975.175,1456.18,1128.825,15312.235,2361.41,383.11,622.23,11752.055,0.0,38.005,10028.42,1723.635,0.00912289650343,0.744772022452,230648.965967,0.0234917926515,0.0205191272609,0.070090625151,0.109015699012,0.0400296842739,0.81689039932,987.773863607,95.0323713268,1070.24292948,101.737641018,1331.20812141,1331.20812141,324.193499164,356.74764316,268.77530746,809.262609787,266.241624281,116.64881011,147.256504525,666.394759902,35.6883797615,1999.18427971,212.691518167
14,731.621,37.8,4.176,1275.868,97.117,358.165,358.165,753.666,1372.985,1804.099,15970.426,1368.056,537.461,650.497,12039.676,0.0,45.936,11164.702,874.974,0.0152069310074,0.451274752996,141807.27573,0.0199546197149,0.0394082838153,0.0801207542532,0.117541501315,0.0492243444901,0.947861959137,670.689512184,78.3468978327,1415.71736194,131.712081989,1433.56419494,1433.56419494,223.224787112,471.905787314,523.401740677,804.50018626,286.712838987,199.814340326,210.075654587,770.859367002,33.8631311311,2312.578101,199.173023178
15,734.06,0.0,3.676,1257.736,207.771,244.607,244.607,672.09,1465.507,1397.464,14361.887,1470.001,385.008,595.585,10826.826,12.609,40.436,9809.203,1017.623,0.040921766264,0.411122737841,210467.939829,0.0,0.0208141723477,0.0897394322311,0.088094281963,0.0521641683135,1.0,544.625627797,61.6582141162,976.775322187,102.505022228,1184.00435997,1184.00435997,170.830920705,325.591774062,300.318938231,681.840064773,236.800871994,107.004532923,143.691208593,594.798858334,35.9256549279,1784.396575,199.893184616
16,2568.0,543.0,1.0,42.0,22.0,12.0,12.0,3102.0,64.0,186.0,4200.0,819.0,134.0,246.0,848.0,0.0,11.0,606.0,242.0,0.0135802469136,0.877578176979,156442.0,0.0884353741497,0.0256648113791,0.124833997344,0.0365941162401,0.0931677018634,0.408163265306,1098.0,169.516960803,150.0,34.3074335968,645.0,645.0,365.0,50.0,84.8645980371,302.0,129.0,67.0,90.6090503206,199.0,16.9705627485,597.0,81.1171991627
17,12393.22,2283.213,6.07,3215.833,1548.556,62.993,62.993,14285.733,4764.389,930.42,22226.932,4239.118,900.655,1367.826,2246.39,238.132,66.77,1902.034,344.356,0.21321792852,0.476774506124,71939.5669861,0.220044675501,0.173042624029,0.263895483907,0.144034593253,0.115460079948,0.756139462548,2430.8968863,316.402844096,2510.42511583,308.920640249,2404.89068157,2404.89068157,795.492010437,836.808371945,357.124820029,999.023801719,480.978136315,207.327102765,247.655555304,284.017580164,115.033885112,852.052740491,111.044622571
18,18267.951,4168.582,10.267,6723.27,2360.765,339.563,339.563,21708.063,9084.035,1836.299,38121.575,7536.4,1622.862,2648.915,5493.178,526.274,112.937,4825.688,667.49,0.246490919,0.549928137563,75074.1497911,0.259679717075,0.158907724934,0.383860232206,0.156785362308,0.137234914727,0.715864804834,3843.1957827,468.013255717,3341.94354281,382.785285946,3711.93112776,3711.93112776,1191.43219621,1113.98118094,349.87838573,1487.72761217,742.386225552,327.209169804,407.567283191,537.353695292,217.444705645,1612.06108588,156.324116735
19,7826.125,1864.248,3.999,1152.259,662.847,35.292,35.292,9529.079,1815.106,431.836,13095.633,2632.642,480.278,900.77,1319.612,115.176,43.989,1249.357,70.255,0.161973605565,0.578403603767,71312.3787302,0.0543131983859,0.119849289692,0.3322832492,0.141015206331,0.155643027169,0.809711671409,2032.25849927,303.311837839,1267.03805349,150.732845465,2117.80551655,2117.80551655,709.355067244,422.346017831,161.434483891,721.423693576,423.56110331,136.065410704,212.657078027,202.956424872,59.4660147816,608.869274617,64.3416133152
20,8426.785,1594.612,3.56,890.889,575.181,-29.025,-29.025,9896.063,1466.07,216.521,13402.985,2189.611,328.259,733.45,1824.331,85.062,39.16,1775.488,48.843,0.185255068721,0.631311671024,69173.5696791,0.0901559781622,0.124800942115,0.436427524455,0.146459381563,0.151252702512,0.802017971672,1879.56971426,257.346080881,1375.99568557,174.606105641,1852.88937611,1852.88937611,625.663368508,458.665228523,83.3133610413,701.71512439,370.577875222,127.876791033,222.48080548,276.173512664,61.7447045584,828.520537991,65.1928932707
21,11707.753,2505.604,9.06,1367.398,640.394,-25.942,-25.942,13951.081,2007.792,1075.575,22128.743,3366.692,568.634,1146.013,5094.295,263.109,99.66,4847.659,246.636,0.254098219646,0.443370559118,78162.3539204,0.106718899101,0.132516441262,0.55931336723,0.204758588997,0.0971085841076,0.777316590825,2915.24426346,355.575183943,1586.60783904,194.068380887,2501.90220665,2501.90220665,937.49156314,528.86927968,270.937719733,1035.97708393,500.380441329,172.848653469,253.744994676,545.043508889,129.93076631,1635.13052667,136.707054101
22,8447.578,2637.832,3.968,543.229,243.08,57.752,57.752,10941.562,786.309,502.531,14091.211,3350.856,720.617,1107.363,1860.809,223.033,43.648,1448.617,412.192,0.290295841991,0.589613657052,73469.5856568,0.146824736822,0.135681694749,0.537135242942,0.202181922346,0.11638096457,0.668601067045,2130.37757714,357.157161138,754.317834005,107.657754328,2467.74605118,2467.74605118,704.351402317,251.439278002,178.667120957,701.773426255,493.549210236,208.990503765,249.006224342,299.08970817,137.388003818,897.269124509,153.339326381
23,10544.723,2755.844,5.133,645.762,394.719,55.936,55.936,13204.395,1040.481,594.32,16216.366,3274.725,514.014,919.984,1377.17,362.0,56.463,1308.944,68.226,0.422190042181,0.287070266203,37614.6568011,0.182768674944,0.238528043835,0.722046558133,0.330180776178,0.136914969345,0.558608803483,3051.30036018,389.947235755,1307.92396816,158.651241763,2329.83852836,2329.83852836,1008.07586978,435.974656054,194.247894426,1030.07521073,465.967705672,174.005154912,229.52882681,231.764502623,157.013039051,695.293507868,88.1036815008
24,5011.423,979.1,1.881,318.007,86.231,-15.12,-15.12,5906.527,404.238,83.999,6872.973,1116.419,342.395,535.179,478.209,0.209,20.691,412.001,66.208,0.0534048272919,0.52043518961,79779.9122527,0.0695286980868,0.147410589032,0.284879063474,0.164950276772,0.109539342452,0.666704210123,1376.62928779,250.950545588,356.867944328,61.9318447166,1285.50885862,1285.50885862,452.200527489,118.955981443,47.2511085796,457.647898909,257.101771725,116.860934191,146.999011072,146.784642511,20.0921342072,440.353927532,49.3071004724
25,9296.459,1953.932,9.476,1226.636,357.617,174.784,174.784,10939.794,1584.253,1747.329,26878.379,3758.34,998.685,1548.138,12607.003,159.166,104.236,11334.996,1272.007,0.166963607422,0.507371152691,119446.88331,0.107387260724,0.090396129983,0.361969574008,0.132849437821,0.0592641099432,0.831486713496,2386.36494189,309.377362406,1041.20827735,183.305484932,2060.94744485,2060.94744485,765.505869259,347.069425784,338.585033739,983.395106484,412.18948897,184.605171382,232.376110069,618.960842785,107.107281713,1856.88252835,193.354604489
26,8204.348,1177.0,10.51,1145.129,300.199,288.349,288.349,9280.21,1445.328,1257.376,28677.448,3615.7,978.899,1463.073,16694.534,124.834,115.61,14844.382,1850.152,0.203402308832,0.55199556723,158510.289455,0.200159279687,0.0817521490634,0.19805620617,0.118710510031,0.0436139387267,0.903325768025,1721.31707288,242.930629804,1141.8531686,169.96285265,1709.01525852,1709.01525852,562.790119297,380.617722868,237.260672917,883.398322061,341.803051704,178.145333456,212.00776369,689.882524395,89.2382804182,2069.64757318,229.545134433
27,972.0,84.0,1.0,117.0,0.0,22.0,22.0,1015.0,117.0,270.0,3485.0,220.0,120.0,161.0,2083.0,0.0,11.0,1969.0,114.0,0.0863636363636,0.218151071026,89821.0,0.0557939914163,0.0681995323461,0.434285714286,0.124544349939,0.017394993636,0.876494023904,813.0,70.5974503789,237.0,33.941125497,485.0,485.0,268.0,79.0,109.041276588,485.0,97.0,56.0,64.4980619864,427.0,16.9705627485,1281.0,54.5618914628
28,3196.921,1456.261,2.009,1.078,1.188,0.437,0.437,4652.104,2.266,12.097,4722.875,1459.86,326.291,637.37,56.408,458.803,22.099,54.434,1.974,0.674407445317,0.240617605064,28350.1706218,0.377845362912,0.221758827996,0.860837751121,0.447813161031,0.147333988965,0.503628176533,1549.3270042,257.34975326,50.9294278782,47.7011827526,1811.38574909,1811.38574909,516.44200344,16.9764759594,33.6649339818,520.880951547,362.277149818,139.331180961,185.842798066,66.3179886381,156.727047739,198.953965914,44.7440826926
29,1369.862,844.778,0.893,6.251,0.0,4.465,4.465,2214.64,6.251,28.576,2251.253,850.136,30.362,95.551,1.786,81.263,9.823,0.893,0.893,0.572486772487,0.418367346939,31429.0,0.325,0.277915632754,0.649056603774,0.430561082372,0.0959595959596,0.503703703704,1001.946,185.681737161,29.469,30.3094250688,977.835,977.835,333.982,9.823,35.72,330.41,195.567,39.292,57.4928352493,4.465,56.2022729878,13.395,28.4781606323
30,4409.965,1718.257,2.065,114.211,61.825,0.0,0.0,6119.601,176.036,30.486,6351.384,1780.315,387.852,654.522,25.261,357.422,22.715,25.028,0.233,0.418707743693,0.249964508259,31020.6214686,0.25573338981,0.233082494977,0.856082844499,0.321342604423,0.208106579953,0.6067928652,1772.02545563,332.230532489,423.976857576,65.8250040334,1852.26020262,1852.26020262,591.295403077,141.325619192,38.5991687475,596.99592484,370.452040525,149.893665807,218.473544744,22.3301308774,199.358213099,66.9903926321,44.7733621811
31,8877.59,4059.004,4.547,151.533,37.45,10.535,10.535,12880.53,188.983,106.868,13317.169,4115.634,700.204,987.701,140.788,365.139,50.017,132.143,8.645,0.447670412819,0.401035178613,37225.2737379,0.249002222675,0.213089406908,0.772301123178,0.326932226978,0.163978656412,0.518731272575,2585.06736126,517.193067787,359.076885885,74.8985969428,2594.18376,2594.18376,862.749705678,119.692295295,72.8711732306,857.502148219,518.836751999,222.58890666,257.855400628,74.632542989,146.856505082,223.897628967,67.1511726554
32,9051.114,2721.269,3.945,132.401,127.37,1.304,1.304,11737.286,259.771,75.075,12130.392,2850.595,600.633,1000.831,58.26,436.213,43.395,57.608,0.652,0.361409755518,0.344178540993,44689.406525,0.22065420241,0.166728002642,0.639287158202,0.264362030818,0.207693233343,0.381748895294,2282.17110396,391.692518236,560.624090014,129.613367926,2305.25228268,2305.25228268,761.735224453,186.874696671,75.2950003519,761.093709227,461.050456536,211.47423356,257.85780249,51.3268678666,179.96880221,153.9806036,69.9827230393
